Bonds,H0*,bounds.n,atom1,atom2,Comments
H-H,104.2,1,H,H,
C-C,83,1,C,C,
N-N,38.4,1,N,N,
O-O,35,1,O,O,
F-F,36.6,1,F,F,
Si-Si,52,1,Si,Si,
P-P,51,1,P,P,
S-S,54,1,S,S,
Cl-Cl,58,1,Cl,Cl,
Br-Br,46,1,Br,Br,
I-I,36,1,I,I,
H-C,99,1,H,C,
H-N,93,1,H,N,
H-O,111,1,H,O,
H-F,135,1,H,F,
H-Cl,103,1,H,Cl,
H-Br,87.5,1,H,Br,
H-I,71,1,H,I,
H-B,90,1,H,B,
H-S,81,1,H,S,
H-Si,70,1,H,Si,
H-P,77,1,H,P,
B-F,154,1,B,F,
B-O,123,1,B,O,
C-N,73,1,C,N,
N-CO,86,1,N,CO,
C-O,85.5,1,C,O,
O-CO,110,1,O,CO,
C-S,65,1,C,S,
C-F,116,1,C,F,
C-Cl,81,1,C,Cl,
C-Br,68,1,C,Br,
C-I,51,1,C,I,
C-B,94,1,C,B,
C-Si,83,1,C,Si,
C-P,73,1,C,P,
N-O,55,1,N,O,
S-O,87,1,S,O,
Si-F,132,1,Si,F,
Si-Cl,86,1,Si,Cl,
Si-O,110,1,Si,O,
P-Cl,79,1,P,Cl,
P-Br,65,1,P,Br,
P-O,96,1,P,O,
C=C,146,2,C,C,
N=N,109,2,N,N,
O=O,119,2,O,O,
C=N,147,2,C,N,
C=O,192,2,C,O,(CO2)
C=O,177,2,C,O,(aldehyde)
C=O,178,2,C,O,(ketone)
C=O,179,2,C,O,(ester)
C=O,179,2,C,O,(amide)
C=O,177,2,C,O,(halide)
C=S,138,2,C,S,(CS2)
N=O,143,2,N,O,(HONO2)
P=O,110,2,P,O,(POCl3)
P=S,70,2,P,S,(PSCl3)
S=O,128,2,S,O,(SO2)
S=O,93,2,S,O,(DMSO)
P=P,84,2,P,P,
P≡P,117,3,P,P,
C≡O,258,3,C,O,
C≡C,200,3,C,C,
N≡N,226,3,N,N,
C≡N,213,3,C,N,
