ID,class,category,subcategory,order,entry,name
C18498,Pesticides,Fungicides,Aliphatic nitrogen fungicides,,C18498,Cymoxanil
C18723,Pesticides,Fungicides,Aliphatic nitrogen fungicides,,C18723,Dodine
C18568,Pesticides,Fungicides,Aliphatic nitrogen fungicides,,C18568,Iminoctadine acetate
C18581,Pesticides,Fungicides,Amide fungicides,,C18581,Amisulbrom
C10929,Pesticides,Fungicides,Amide fungicides,,C10929,Benalaxyl
C18547,Pesticides,Fungicides,Amide fungicides,,C18547,Boscalid
C11255,Pesticides,Fungicides,Amide fungicides,,C11255,Carboxin
C10932,Pesticides,Fungicides,Amide fungicides,,C10932,Carpropamid
C18573,Pesticides,Fungicides,Amide fungicides,,C18573,Cyazofamid
C18516,Pesticides,Fungicides,Amide fungicides,,C18516,Cyflufenamid
C18820,Pesticides,Fungicides,Amide fungicides,,C18820,Dichlofluanid
C18518,Pesticides,Fungicides,Amide fungicides,,C18518,Diclocymet
C18833,Pesticides,Fungicides,Amide fungicides,,C18833,Fenfuram
C18593,Pesticides,Fungicides,Amide fungicides,,C18593,Fenhexamid
C18519,Pesticides,Fungicides,Amide fungicides,,C18519,Fenoxanil
C18464,Pesticides,Fungicides,Amide fungicides,,C18464,Fluopicolide
C18521,Pesticides,Fungicides,Amide fungicides,,C18521,Flusulfamide
C18502,Pesticides,Fungicides,Amide fungicides,,C18502,Flutolanil
C10941,Pesticides,Fungicides,Amide fungicides,,C10941,Furalaxyl
C18503,Pesticides,Fungicides,Amide fungicides,,C18503,Furametpyr
C18522,Pesticides,Fungicides,Amide fungicides,,C18522,Mandipropamid
C18548,Pesticides,Fungicides,Amide fungicides,,C18548,Mepronil
C18626,Pesticides,Fungicides,Amide fungicides,,C18626,Metalaxyl-M
C18800,Pesticides,Fungicides,Amide fungicides,,C18800,Ofurace
C18753,Pesticides,Fungicides,Amide fungicides,,C18753,Oxadixyl
C10956,Pesticides,Fungicides,Amide fungicides,,C10956,Oxycarboxin
C18480,Pesticides,Fungicides,Amide fungicides,,C18480,Pefurazoate
C18482,Pesticides,Fungicides,Amide fungicides,,C18482,Penthiopyrad
C11182,Pesticides,Fungicides,Amide fungicides,,C11182,Prochloraz
C18550,Pesticides,Fungicides,Amide fungicides,,C18550,Tiadinil
C18899,Pesticides,Fungicides,Amide fungicides,,C18899,Tolylfluanid
C10960,Pesticides,Fungicides,Amide fungicides,,C10960,Triforine
C18903,Pesticides,Fungicides,Amide fungicides,,C18903,Zoxamide
C02010,Pesticides,Fungicides,Antibiotic fungicides,,C02010,Blasticidin S
C17968,Pesticides,Fungicides,Antibiotic fungicides,,C17968,Kasugamycin
C08073,Pesticides,Fungicides,Antibiotic fungicides,,C08073,Natamycin
C06624,Pesticides,Fungicides,Antibiotic fungicides,,C06624,Oxytetracycline
C00413,Pesticides,Fungicides,Antibiotic fungicides,,C00413,Streptomycin
C12112,Pesticides,Fungicides,Antibiotic fungicides,,C12112,Validamycin A
C10896,Pesticides,Fungicides,Carbamate fungicides,,C10896,Benomyl
C18415,Pesticides,Fungicides,Carbamate fungicides,,C18415,Benthiavalicarb isopropyl
C10897,Pesticides,Fungicides,Carbamate fungicides,,C10897,Carbendazim
C11077,Pesticides,Fungicides,Carbamate fungicides,,C11077,Diethofencarb
C18866,Pesticides,Fungicides,Carbamate fungicides,,C18866,Iprovalicarb
C18421,Pesticides,Fungicides,Carbamate fungicides,,C18421,Propamocarb hydrochloride
C18885,Pesticides,Fungicides,Carbamate fungicides,,C18885,Propamocarb
C22042,Pesticides,Fungicides,Carbamate fungicides,,C22042,Pyribencarb
C14432,Pesticides,Fungicides,Carbamate fungicides,,C14432,Thiophanate-methyl
C18701,Pesticides,Fungicides,Conazole fungicides,,C18701,Azaconazole
C18704,Pesticides,Fungicides,Conazole fungicides,,C18704,Bromuconazole
C18459,Pesticides,Fungicides,Conazole fungicides,,C18459,Difenoconazole
C18456,Pesticides,Fungicides,Conazole fungicides,,C18456,Cyproconazole
C18720,Pesticides,Fungicides,Conazole fungicides,,C18720,Diniconazole
C18739,Pesticides,Fungicides,Conazole fungicides,,C18739,Enilconazole
C18461,Pesticides,Fungicides,Conazole fungicides,,C18461,Fenbuconazole
C18733,Pesticides,Fungicides,Conazole fungicides,,C18733,Flusilazole
C18734,Pesticides,Fungicides,Conazole fungicides,,C18734,Flutriafol
C18466,Pesticides,Fungicides,Conazole fungicides,,C18466,Hexaconazole
C18468,Pesticides,Fungicides,Conazole fungicides,,C18468,Imibenconazole
C18471,Pesticides,Fungicides,Conazole fungicides,,C18471,Ipconazole
C18476,Pesticides,Fungicides,Conazole fungicides,,C18476,Metconazole
C18477,Pesticides,Fungicides,Conazole fungicides,,C18477,Myclobutanil
C18572,Pesticides,Fungicides,Conazole fungicides,,C18572,Oxpoconazole fumarate
C18801,Pesticides,Fungicides,Conazole fungicides,,C18801,Penconazole
C11121,Pesticides,Fungicides,Conazole fungicides,,C11121,Propiconazole
C18888,Pesticides,Fungicides,Conazole fungicides,,C18888,Prothioconazole
C18544,Pesticides,Fungicides,Conazole fungicides,,C18544,Simeconazole
C18489,Pesticides,Fungicides,Conazole fungicides,,C18489,Tebuconazole
C18490,Pesticides,Fungicides,Conazole fungicides,,C18490,Tetraconazole
C11156,Pesticides,Fungicides,Conazole fungicides,,C11156,Triadimefon
C11127,Pesticides,Fungicides,Conazole fungicides,,C11127,Triadimenol
C18493,Pesticides,Fungicides,Conazole fungicides,,C18493,Triflumizole
C18815,Pesticides,Fungicides,Conazole fungicides,,C18815,Triticonazole
C18494,Pesticides,Fungicides,Conazole fungicides,,C18494,Uniconazole P
C18712,Pesticides,Fungicides,Copper fungicides,,C18712,Copper hydroxide
C18713,Pesticides,Fungicides,Copper fungicides,,C18713,Copper sulfate
C18714,Pesticides,Fungicides,Copper fungicides,,C18714,Cuprous oxide
C18879,Pesticides,Fungicides,Copper fungicides,,C18879,Oxine-copper
C18754,Pesticides,Fungicides,Dicarboximide fungicides,,C18754,Captafol
C14438,Pesticides,Fungicides,Dicarboximide fungicides,,C14438,Captan
C10979,Pesticides,Fungicides,Dicarboximide fungicides,,C10979,Chlozolinate
C18591,Pesticides,Fungicides,Dicarboximide fungicides,,C18591,Famoxadone
C18551,Pesticides,Fungicides,Dicarboximide fungicides,,C18551,Fluoroimide
C18860,Pesticides,Fungicides,Dicarboximide fungicides,,C18860,Folpet
C11208,Pesticides,Fungicides,Dicarboximide fungicides,,C11208,Iprodione
C10986,Pesticides,Fungicides,Dicarboximide fungicides,,C10986,Procymidone
C10981,Pesticides,Fungicides,Dicarboximide fungicides,,C10981,Vinclozolin
C18449,Pesticides,Fungicides,Dithiocarbamate fungicides,,C18449,Amobam
C18457,Pesticides,Fungicides,Dithiocarbamate fungicides,,C18457,Dazomet
C11223,Pesticides,Fungicides,Dithiocarbamate fungicides,,C11223,Ferbam
C15231,Pesticides,Fungicides,Dithiocarbamate fungicides,,C15231,Maneb
C15225,Pesticides,Fungicides,Dithiocarbamate fungicides,,C15225,Manzeb
C18424,Pesticides,Fungicides,Dithiocarbamate fungicides,,C18424,Metam-sodium
C18144,Pesticides,Fungicides,Dithiocarbamate fungicides,,C18144,Metiram
C18748,Pesticides,Fungicides,Dithiocarbamate fungicides,,C18748,Nabam
C18450,Pesticides,Fungicides,Dithiocarbamate fungicides,,C18450,Propineb
C18628,Pesticides,Fungicides,Dithiocarbamate fungicides,,C18628,Thiadiazin
C11160,Pesticides,Fungicides,Dithiocarbamate fungicides,,C11160,Thiram
C15232,Pesticides,Fungicides,Dithiocarbamate fungicides,,C15232,Zineb
C15229,Pesticides,Fungicides,Dithiocarbamate fungicides,,C15229,Ziram
C00087,Pesticides,Fungicides,Inorganic fungicides,,C00087,Sulfur
C13377,Pesticides,Fungicides,Inorganic fungicides,,C13377,Mercuric chloride
C18670,Pesticides,Fungicides,Inorganic fungicides,,C18670,Mercuric oxide
C18583,Pesticides,Fungicides,Morpholine fungicides,,C18583,Dimethomorph
C18786,Pesticides,Fungicides,Morpholine fungicides,,C18786,Dodemorph
C18787,Pesticides,Fungicides,Morpholine fungicides,,C18787,Fenpropimorph
C18445,Pesticides,Fungicides,Organochlorine fungicides,,C18445,Chloropicrin
C11037,Pesticides,Fungicides,Organochlorine fungicides,,C11037,Chlorothalonil
C14292,Pesticides,Fungicides,Organochlorine fungicides,,C14292,Dichlorophen
C11042,Pesticides,Fungicides,Organochlorine fungicides,,C11042,Hexachlorobenzene
C18611,Pesticides,Fungicides,Organochlorine fungicides,,C18611,Phthalide
C14338,Pesticides,Fungicides,Organochlorine fungicides,,C14338,Quintozene
C18897,Pesticides,Fungicides,Organochlorine fungicides,,C18897,Tecnazene
C14436,Pesticides,Fungicides,Organophosphorus fungicides,,C14436,Edifenphos
C18401,Pesticides,Fungicides,Organophosphorus fungicides,,C18401,Fosetyl
C15230,Pesticides,Fungicides,Organophosphorus fungicides,,C15230,Iprobenfos
C18761,Pesticides,Fungicides,Organophosphorus fungicides,,C18761,Pyrazophos
C18407,Pesticides,Fungicides,Organophosphorus fungicides,,C18407,Tolclofos-methyl
C18728,Pesticides,Fungicides,Organotin fungicides,,C18728,Fentin acetate
C18729,Pesticides,Fungicides,Organotin fungicides,,C18729,Fentin hydroxide
C18578,Pesticides,Fungicides,Pyridine fungicides,,C18578,Fluazinam
C22042,Pesticides,Fungicides,Pyridine fungicides,,C22042,Pyribencarb
C18804,Pesticides,Fungicides,Pyridine fungicides,,C18804,Pyrifenox
C10914,Pesticides,Fungicides,Pyrimidine fungicides,,C10914,Cyprodinil
C18776,Pesticides,Fungicides,Pyrimidine fungicides,,C18776,Bupirimate
C11226,Pesticides,Fungicides,Pyrimidine fungicides,,C11226,Fenarimol
C18579,Pesticides,Fungicides,Pyrimidine fungicides,,C18579,Ferimzone
C10919,Pesticides,Fungicides,Pyrimidine fungicides,,C10919,Mepanipyrim
C11185,Pesticides,Fungicides,Pyrimidine fungicides,,C11185,Nuarimol
C11180,Pesticides,Fungicides,Pyrimidine fungicides,,C11180,Pyrimethanil
C18574,Pesticides,Fungicides,Quinone fungicides,,C18574,Dithianon
C11342,Pesticides,Fungicides,Quinone fungicides,,C11342,Oxolinic acid
C18558,Pesticides,Fungicides,Strobilurin fungicides,,C18558,Azoxystrobin
C11017,Pesticides,Fungicides,Strobilurin fungicides,,C11017,Kresoxim-methyl
C18559,Pesticides,Fungicides,Strobilurin fungicides,,C18559,Metominostrobin
C18560,Pesticides,Fungicides,Strobilurin fungicides,,C18560,Orysastrobin
C18561,Pesticides,Fungicides,Strobilurin fungicides,,C18561,Pyraclostrobin
C22042,Pesticides,Fungicides,Strobilurin fungicides,,C22042,Pyribencarb
C18562,Pesticides,Fungicides,Strobilurin fungicides,,C18562,Trifloxystrobin
C18752,Pesticides,Fungicides,Thiazole fungicides,,C18752,Octhilinone
C07131,Pesticides,Fungicides,Thiazole fungicides,,C07131,Thiabendazole
C18505,Pesticides,Fungicides,Thiazole fungicides,,C18505,Thifluzamide
C06588,Pesticides,Fungicides,Others,,C06588,Biphenyl
C11258,Pesticides,Fungicides,Others,,C11258,Bitertanol
C13034,Pesticides,Fungicides,Others,,C13034,Bronopol
C18706,Pesticides,Fungicides,Others,,C18706,Butylamine
C11000,Pesticides,Fungicides,Others,,C11000,Dichloran
C18458,Pesticides,Fungicides,Others,,C18458,Diclomezine
C18721,Pesticides,Fungicides,Others,,C18721,Dinobuton
C18460,Pesticides,Fungicides,Others,,C18460,Echlomezole
C14268,Pesticides,Fungicides,Others,,C14268,Fenpiclonil
C18726,Pesticides,Fungicides,Others,,C18726,Fenpropidin
C18462,Pesticides,Fungicides,Others,,C18462,Fludioxonil
C18737,Pesticides,Fungicides,Others,,C18737,Fuberidazole
C11111,Pesticides,Fungicides,Others,,C11111,Isoprothiolane
C18746,Pesticides,Fungicides,Others,,C18746,Methasulfocarb
