ID,class,category,subcategory,order,entry,name
C16094,Neuropeptides,Tachykinin,,,C16094,Substance P
C16095,Neuropeptides,Tachykinin,,,C16095,Neuropeptide K
C16096,Neuropeptides,Tachykinin,,,C16096,Neuropeptide gamma
C16097,Neuropeptides,Tachykinin,,,C16097,Neurokinin A
C16098,Neuropeptides,Tachykinin,,,C16098,Neurokinin B
C16099,Neuropeptides,Tachykinin,,,C16099,Endokinin A/B
C16100,Neuropeptides,Tachykinin,,,C16100,Endokinin C
C16101,Neuropeptides,Tachykinin,,,C16101,Endokinin D
C01836,Neuropeptides,Neurotensin,,,C01836,Neurotensin
C15868,Neuropeptides,Neurotensin,,,C15868,Neuromedin N
C16025,Neuropeptides,Feeding-related peptide,,,C16025,Ghrelin
C15901,Neuropeptides,Feeding-related peptide,,,C15901,Galanin
C16046,Neuropeptides,Feeding-related peptide,,,C16046,Galanin-like peptide
C16102,Neuropeptides,Feeding-related peptide,,,C16102,Obestatin
C16027,Neuropeptides,Feeding-related peptide,,,C16027,Cocaine- and amphetamine-regulated transcript (1-39)
C16029,Neuropeptides,Feeding-related peptide,,,C16029,Cocaine- and amphetamine-regulated transcript (42-89)
C16103,Neuropeptides,Feeding-related peptide,,,C16103,Agouti related protein (87-132)
C16030,Neuropeptides,Feeding-related peptide,,,C16030,Melanin-concentrating hormone
C16031,Neuropeptides,Feeding-related peptide,,,C16031,Neuropeptide GE
C16104,Neuropeptides,Feeding-related peptide,,,C16104,Neuropeptide EI
C16105,Neuropeptides,Feeding-related peptide,,,C16105,Orexin A
C16106,Neuropeptides,Feeding-related peptide,,,C16106,Orexin B
C16115,Neuropeptides,Feeding-related peptide,,,C16115,Gastrin-releasing peptide
C15866,Neuropeptides,Feeding-related peptide,,,C15866,Neuromedin C
C15869,Neuropeptides,Feeding-related peptide,,,C15869,Neuromedin U
C16107,Neuropeptides,Feeding-related peptide,,,C16107,Neuromedin S
C15949,Neuropeptides,Feeding-related peptide,,,C15949,Neuropeptide Y
C16032,Neuropeptides,Feeding-related peptide,,,C16032,Neuropeptide W-30
C16033,Neuropeptides,Feeding-related peptide,,,C16033,Neuropeptide W-23
C16034,Neuropeptides,Feeding-related peptide,,,C16034,Neuropeptide B-29
C16035,Neuropeptides,Feeding-related peptide,,,C16035,Neuropeptide B-23
C15865,Neuropeptides,Feeding-related peptide,,,C15865,Neuromedin B
C16036,Neuropeptides,Feeding-related peptide,,,C16036,Neuropeptide S
C16037,Neuropeptides,Endogenous opioid peptide,,,C16037,Leumorphin
C01574,Neuropeptides,Endogenous opioid peptide,,,C01574,Dynorphin A
C16135,Neuropeptides,Endogenous opioid peptide,,,C16135,Dynorphin B
C16039,Neuropeptides,Endogenous opioid peptide,,,C16039,Neoendorphin alpha
C16040,Neuropeptides,Endogenous opioid peptide,,,C16040,Neoendorphin beta
C16041,Neuropeptides,Endogenous opioid peptide,,,C16041,Leu-enkephalin
C11684,Neuropeptides,Endogenous opioid peptide,,,C11684,Met-enkephalin
C16042,Neuropeptides,Endogenous opioid peptide,,,C16042,Met-enkephalin-Arg-Gly-Leu
C16043,Neuropeptides,Endogenous opioid peptide,,,C16043,Met-enkephalin-Arg-Phe
C16108,Neuropeptides,Endogenous opioid peptide,,,C16108,Adrenorphin
C15890,Neuropeptides,Endogenous opioid peptide,,,C15890,Endomorphin-1
C15891,Neuropeptides,Endogenous opioid peptide,,,C15891,Endomorphin-2
C16044,Neuropeptides,Endogenous opioid peptide,,,C16044,Nociceptin
C15871,Neuropeptides,Endogenous opioid peptide,,,C15871,Nocistatin
C15863,Neuropeptides,Other neuropeptides,,,C15863,Cerebellin
C16109,Neuropeptides,Other neuropeptides,,,C16109,RFamide-related peptide 1
C16045,Neuropeptides,Other neuropeptides,,,C16045,RFamide-related peptide 2
C16110,Neuropeptides,Other neuropeptides,,,C16110,RFamide-related peptide 3
C16111,Neuropeptides,Other neuropeptides,,,C16111,Neuropeptide AF
C16112,Neuropeptides,Other neuropeptides,,,C16112,Neuropeptide FF
C00873,Cardiovascular peptides,Angiotensin,,,C00873,Angiotensin I
C02135,Cardiovascular peptides,Angiotensin,,,C02135,Angiotensin II
C15848,Cardiovascular peptides,Angiotensin,,,C15848,Angiotensin III
C15849,Cardiovascular peptides,Angiotensin,,,C15849,Angiotensin IV
C15851,Cardiovascular peptides,Angiotensin,,,C15851,Angiotensin (1-9)
C15850,Cardiovascular peptides,Angiotensin,,,C15850,Angiotensin (1-7)
C15852,Cardiovascular peptides,Angiotensin,,,C15852,Angiotensin (1-5)
C20970,Cardiovascular peptides,Angiotensin,,,C20970,Angiotensin A
C20971,Cardiovascular peptides,Angiotensin,,,C20971,Alamandine
C16008,Cardiovascular peptides,Bradykinin,,,C16008,T-kinin
C01505,Cardiovascular peptides,Bradykinin,,,C01505,Kallidin
C00306,Cardiovascular peptides,Bradykinin,,,C00306,Bradykinin
C00952,Cardiovascular peptides,Fibrinopeptide,,,C00952,Fibrinopeptide A
C02404,Cardiovascular peptides,Fibrinopeptide,,,C02404,Fibrinopeptide B
C16000,Cardiovascular peptides,Natriuretic peptide,,,C16000,Urodilatin
C16003,Cardiovascular peptides,Natriuretic peptide,,,C16003,Atrial natriuretic peptide
C16004,Cardiovascular peptides,Natriuretic peptide,,,C16004,Brain natriuretic peptide
