ID,class,category,subcategory,order,entry,name
C11015,Pesticides and herbicides,Carbamate pesticides,,,C11015,Aldicarb
C10896,Pesticides and herbicides,Carbamate pesticides,,,C10896,Benlate
C07491,Pesticides and herbicides,Carbamate pesticides,,,C07491,Carbaryl
C11196,Pesticides and herbicides,Carbamate pesticides,,,C11196,Methomyl
C10981,Pesticides and herbicides,Carbamate pesticides,,,C10981,Vinclozolin
C15225,Pesticides and herbicides,Dithiocarbamate pesticides,,,C15225,Mancozeb
C15231,Pesticides and herbicides,Dithiocarbamate pesticides,,,C15231,Maneb
C18144,Pesticides and herbicides,Dithiocarbamate pesticides,,,C18144,Metiram
C15232,Pesticides and herbicides,Dithiocarbamate pesticides,,,C15232,Zineb
C15229,Pesticides and herbicides,Dithiocarbamate pesticides,,,C15229,Ziram
C07552,Pesticides and herbicides,Organochlorine pesticides,,,C07552,Aldrin
C13718,Pesticides and herbicides,Organochlorine pesticides,,,C13718,Dieldrin
C14176,Pesticides and herbicides,Organochlorine pesticides,,,C14176,Chlordane
C14185,Pesticides and herbicides,Organochlorine pesticides,,,C14185,Heptachlor
C14327,Pesticides and herbicides,Organochlorine pesticides,,,C14327,Heptachlor epoxide
C18145,Pesticides and herbicides,Organochlorine pesticides,,,C18145,trans-Nonachlor
C18146,Pesticides and herbicides,Organochlorine pesticides,,,C18146,Oxychlordane
C04623,Pesticides and herbicides,Organochlorine pesticides,,,C04623,DDT
C06636,Pesticides and herbicides,Organochlorine pesticides,,,C06636,DDD
C04596,Pesticides and herbicides,Organochlorine pesticides,,,C04596,DDE
C18124,Pesticides and herbicides,Organochlorine pesticides,,,C18124,Endrin
C11090,Pesticides and herbicides,Organochlorine pesticides,,,C11090,Endosulfan
C15214,Pesticides and herbicides,Organochlorine pesticides,,,C15214,alpha-Hexachlorocyclohexane
C01792,Pesticides and herbicides,Organochlorine pesticides,,,C01792,Chlordecone
C11043,Pesticides and herbicides,Organochlorine pesticides,,,C11043,Methoxychlor
C14184,Pesticides and herbicides,Organochlorine pesticides,,,C14184,Mirex
C15470,Pesticides and herbicides,Organochlorine pesticides,,,C15470,Toxaphene
C10984,Pesticides and herbicides,Pyrethroid pesticides,,,C10984,Cypermethrin
C18147,Pesticides and herbicides,Pyrethroid pesticides,,,C18147,Esfenvalerate
C10988,Pesticides and herbicides,Pyrethroid pesticides,,,C10988,Fenvalerate
