proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,Filters.vb,103,39,11,53,1,0,0,9,0,3640,3.64 KB
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,Rscript.vb,768,208,73,487,1,0,0,18,0,32229,32.23 KB
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,Spatial.vb,127,29,13,85,1,0,0,2,0,5358,5.36 KB
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,zzz.vb,22,3,4,15,1,0,1,0,0,908,908 B
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,builders/BuildFilters.vb,54,0,10,44,1,0,0,3,0,1841,1.84 KB
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,ggplot/filterPipelineBuilder.vb,55,0,10,45,1,0,0,1,0,1689,1.69 KB
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,ggplot/ggplotMSI.vb,163,26,18,119,1,2,1,7,0,6120,6.12 KB
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,ggplot/HeatMapReader.vb,23,0,5,18,1,1,1,1,0,711,711 B
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,ggplot/MSIHeatMap.vb,92,11,13,68,1,8,0,5,0,3091,3.09 KB
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,ggplot/MSIReader.vb,122,9,19,94,1,3,5,1,0,4729,4.73 KB
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,ggplot/data/PointPack.vb,57,19,8,30,1,3,0,2,0,2053,2.05 KB
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,ggplot/layers/ggplotMSILayer.vb,159,34,23,102,1,4,0,7,0,6752,6.75 KB
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,ggplot/layers/MSIChannelLayer.vb,127,12,19,96,2,1,0,3,0,5287,5.29 KB
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,ggplot/layers/MSICMYKCompositionLayer.vb,78,4,10,64,1,6,0,1,0,3372,3.37 KB
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,ggplot/layers/MSImagingLayer.vb,189,23,24,142,1,3,0,4,0,8305,8.30 KB
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,ggplot/layers/MSIRGBCompositionLayer.vb,106,7,14,85,1,4,0,3,0,4597,4.60 KB
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,ggplot/layers/MSIRGBHeatMapLayer.vb,93,8,11,74,1,1,0,2,0,3869,3.87 KB
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,ggplot/layers/MSIRuler.vb,38,0,6,32,1,2,0,1,0,1413,1.41 KB
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,ggplot/layers/MSISampleOutline.vb,112,12,14,86,1,8,0,2,0,4513,4.51 KB
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,ggplot/layers/MSITICOverlap.vb,92,5,12,75,1,2,0,1,0,3877,3.88 KB
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,ggplot/layers/spatial/spatialAnnotationScatterLayer.vb,61,1,11,49,1,4,0,1,0,2224,2.22 KB
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,ggplot/layers/spatial/SpatialTranscriptomicsLayer.vb,159,8,24,127,1,6,0,3,0,6856,6.86 KB
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,ggplot/options/MSIBackgroundOption.vb,16,4,3,9,1,1,0,1,0,493,493 B
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,ggplot/options/MSIDimensionSizeOption.vb,12,0,3,9,1,1,0,1,0,360,360 B
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,ggplot/options/MSIFilterPipelineOption.vb,12,0,3,9,1,1,0,1,0,401,401 B
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,ggplot/options/MSIGaussBlurOption.vb,11,0,3,8,1,1,0,1,0,311,311 B
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,ggplot/options/MSIHqxScaleOption.vb,26,1,5,20,1,1,0,1,0,820,820 B
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,ggplot/options/MSIKnnFillOption.vb,15,0,4,11,1,2,0,1,0,413,413 B
G:/mzkit/Rscript/Library/MSI_app/src/MSImaging.vbproj,<project>,2892,463,373,2056,29,65,8,83,0,116232,116.23 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzDIA/mzDIA.vbproj,DIA.vb,133,18,18,97,1,0,0,3,0,5121,5.12 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzDIA/mzDIA.vbproj,LCLipidomics.vb,115,37,13,65,1,0,0,6,0,4694,4.69 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzDIA/mzDIA.vbproj,metaDNA.vb,789,173,99,517,1,0,1,24,0,34582,34.58 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzDIA/mzDIA.vbproj,MolecularSpectrumPool.vb,360,137,39,184,1,0,0,11,0,14508,14.51 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzDIA/mzDIA.vbproj,MoleculeNetworking.vb,567,159,64,344,1,0,1,14,0,24956,24.96 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzDIA/mzDIA.vbproj,ms2_simulator.vb,169,22,24,123,1,0,0,6,0,6668,6.67 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzDIA/mzDIA.vbproj,Oligonucleotide_MS.vb,45,5,6,34,1,0,0,1,0,1716,1.72 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzDIA/mzDIA.vbproj,Taxonomy.vb,157,26,23,108,3,0,2,4,0,6008,6.01 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzDIA/mzDIA.vbproj,zzz.vb,11,0,3,8,1,0,1,0,0,219,219 B
G:/mzkit/Rscript/Library/mzkit_app/src/mzDIA/mzDIA.vbproj,My Project/Application.Designer.vb,12,9,1,2,0,0,0,0,0,434,434 B
G:/mzkit/Rscript/Library/mzkit_app/src/mzDIA/mzDIA.vbproj,My Project/AssemblyInfo.vb,36,15,6,15,0,0,0,0,0,1196,1.20 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzDIA/mzDIA.vbproj,My Project/Resources.Designer.vb,63,23,8,32,1,2,0,0,0,2770,2.77 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzDIA/mzDIA.vbproj,My Project/Settings.Designer.vb,74,9,12,53,2,2,1,0,0,2986,2.99 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzDIA/mzDIA.vbproj,<project>,2531,633,316,1582,14,4,6,69,0,105858,105.86 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzkit/mzkit.vbproj,zzz.vb,78,0,16,62,1,0,1,2,0,3133,3.13 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzkit/mzkit.vbproj,annotations/foodb.vb,73,7,5,61,1,0,0,1,0,3763,3.76 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzkit/mzkit.vbproj,annotations/HMDB.vb,338,93,36,209,1,0,1,12,0,14796,14.80 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzkit/mzkit.vbproj,annotations/Massbank.vb,1150,242,148,760,1,0,2,42,0,46345,46.34 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzkit/mzkit.vbproj,annotations/MetaDbXref.vb,1013,201,120,692,1,0,1,24,0,45131,45.13 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzkit/mzkit.vbproj,annotations/Mummichog.vb,415,65,52,298,3,0,2,10,0,17465,17.46 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzkit/mzkit.vbproj,annotations/PubChem.vb,606,193,55,358,1,0,1,19,0,26847,26.85 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzkit/mzkit.vbproj,assembly/Assembly.vb,620,101,69,450,1,0,1,22,0,26852,26.85 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzkit/mzkit.vbproj,assembly/Chromatogram.vb,413,98,55,260,1,0,2,14,0,16108,16.11 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzkit/mzkit.vbproj,assembly/data.vb,1005,236,125,644,1,0,1,29,0,43846,43.85 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzkit/mzkit.vbproj,assembly/GCMSData.vb,36,9,4,23,1,0,0,1,0,1225,1.23 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzkit/mzkit.vbproj,assembly/MzPackAccess.vb,549,149,56,344,1,0,0,19,0,21284,21.28 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzkit/mzkit.vbproj,assembly/MzWeb.vb,1183,287,148,748,1,0,2,23,0,48431,48.43 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzkit/mzkit.vbproj,assembly/NMR.vb,64,18,9,37,1,0,0,6,0,2097,2.10 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzkit/mzkit.vbproj,assembly/RamanSpectroscopy.vb,68,43,5,20,1,0,0,1,0,3942,3.94 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzkit/mzkit.vbproj,assembly/UVSpectroscopy.vb,131,27,20,84,1,0,1,5,0,5313,5.31 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzkit/mzkit.vbproj,assembly/vendors/flexImaging.vb,62,0,12,50,1,0,0,3,0,2423,2.42 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzkit/mzkit.vbproj,assembly/vendors/ProteoWizard.vb,144,31,20,93,1,0,0,6,0,5161,5.16 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzkit/mzkit.vbproj,assembly/vendors/ThermoRaw.vb,75,6,11,58,1,0,0,6,0,2896,2.90 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzkit/mzkit.vbproj,comprehensive/GCxGC.vb,228,94,22,112,1,0,0,7,0,9830,9.83 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzkit/mzkit.vbproj,comprehensive/MSI.vb,1952,593,196,1163,1,0,1,49,0,81651,81.65 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzkit/mzkit.vbproj,comprehensive/SingleCells.vb,722,227,73,422,1,0,1,18,0,28726,28.73 KB
G:/mzkit/Rscript/Library/mzkit_app/src/mzkit/mzkit.vbproj,comprehensive/SingleCellsPack.vb,145,49,16,80,1,0,0,2,0,6357,6.36 KB
