fromNode,toNode,value,interaction_type,selfLoop,label,guid
#1,#2,0,,False,#1 -> #2,#1 -> #2
#1,#52,0,,False,#1 -> #52,#1 -> #52
#10,#11,0,,False,#10 -> #11,#10 -> #11
#11,#12,0,,False,#11 -> #12,#11 -> #12
#11,#18,0,,False,#11 -> #18,#11 -> #18
#12,#13,0,,False,#12 -> #13,#12 -> #13
#12,#19,0,,False,#12 -> #19 (#Down),#12 -> #19 (#Down)
#13,#14,0,,False,#13 -> #14,#13 -> #14
#13,#20,0,,False,#13 -> #20,#13 -> #20
#13,#21,0,,False,#13 -> #21,#13 -> #21
#14,#15,0,,False,#14 -> #15,#14 -> #15
#15,#22,0,,False,#15 -> #22,#15 -> #22
#2,#16,0,,False,#2 -> #16,#2 -> #16
#2,#3,0,,False,#2 -> #3,#2 -> #3
#22,#23,0,,False,#22 -> #23,#22 -> #23
#22,#24,0,,False,#22 -> #24,#22 -> #24
#22,#51,0,,False,#22 -> #51,#22 -> #51
#25,#26,0,,False,#25 -> #26,#25 -> #26
#25,#29,0,,False,#25 -> #29,#25 -> #29
#25,#31,0,,False,#25 -> #31 (#Up),#25 -> #31 (#Up)
#26,#27,0,,False,#26 -> #27,#26 -> #27
#26,#32,0,,False,#26 -> #32 (#Up),#26 -> #32 (#Up)
#27,#28,0,,False,#27 -> #28,#27 -> #28
#27,#30,0,,False,#27 -> #30 (#Down),#27 -> #30 (#Down)
#28,#29,0,,False,#28 -> #29,#28 -> #29
#29,#39,0,,False,#29 -> #39 (#Down),#29 -> #39 (#Down)
#3,#4,0,,False,#3 -> #4,#3 -> #4
#30,#47,0,,False,#30 -> #47,#30 -> #47
#32,#33,0,,False,#32 -> #33,#32 -> #33
#33,#34,0,,False,#33 -> #34,#33 -> #34
#33,#35,0,,False,#33 -> #35,#33 -> #35
#33,#36,0,,False,#33 -> #36,#33 -> #36
#37,#38,0,,False,#37 -> #38,#37 -> #38
#37,#41,0,,False,#37 -> #41,#37 -> #41
#37,#42,0,,False,#37 -> #42,#37 -> #42
#38,#39,0,,False,#38 -> #39,#38 -> #39
#38,#45,0,,False,#38 -> #45,#38 -> #45
#39,#40,0,,False,#39 -> #40,#39 -> #40
#4,#5,0,,False,#4 -> #5,#4 -> #5
#40,#41,0,,False,#40 -> #41,#40 -> #41
#42,#43,0,,False,#42 -> #43,#42 -> #43
#42,#46,0,,False,#42 -> #46,#42 -> #46
#43,#44,0,,False,#43 -> #44,#43 -> #44
#44,#45,0,,False,#44 -> #45,#44 -> #45
#47,#48,0,,False,#47 -> #48,#47 -> #48
#48,#49,0,,False,#48 -> #49,#48 -> #49
#48,#50,0,,False,#48 -> #50,#48 -> #50
#48,#51,0,,False,#48 -> #51,#48 -> #51
#5,#6,0,,False,#5 -> #6,#5 -> #6
#52,#53,0,,False,#52 -> #53,#52 -> #53
#6,#7,0,,False,#6 -> #7,#6 -> #7
#7,#17,0,,False,#7 -> #17,#7 -> #17
#7,#8,0,,False,#7 -> #8,#7 -> #8
#8,#9,0,,False,#8 -> #9,#8 -> #9
#9,#10,0,,False,#9 -> #10,#9 -> #10
