ID,NodeType,weight,x,y,label
#1,Carbon,12.011,9.0524,-18.48,C1b
#10,Nitrogen,14.007,19.9644,-17.78,N1b
#11,Carbon,12.011,21.1768,-18.48,C5a
#12,Carbon,12.011,22.3892,-17.78,C1c
#13,Carbon,12.011,23.6017,-18.48,C1d
#14,Carbon,12.011,24.8141,-17.78,C1b
#15,Oxygen,15.999,26.0265,-18.48,O2b
#16,Oxygen,15.999,10.2649,-16.3802,O5a
#17,Oxygen,15.999,16.327,-19.8799,O5a
#18,Oxygen,15.999,21.1768,-19.8796,O5a
#19,Oxygen,15.999,22.3892,-16.38,O1a
#2,Carbon,12.011,10.2649,-17.78,C5a
#20,Carbon,12.011,23.6017,-17.08,C1a
#21,Carbon,12.011,23.6017,-19.88,C1a
#22,Phosphorus,30.97376,27.4265,-18.48,P1b
#23,Oxygen,15.999,28.8265,-18.48,O1c
#24,Oxygen,15.999,27.4265,-19.88,O1c
#25,Carbon,12.011,20.93,-13.51,C1y
#26,Carbon,12.011,22.33,-13.51,C1y
#27,Carbon,12.011,22.7626,-12.1785,C1y
#28,Oxygen,15.999,21.63,-11.3556,O2x
#29,Carbon,12.011,20.4974,-12.1785,C1y
#3,Sulfur,32.06,11.4773,-18.48,S2a
#30,Carbon,12.011,24.0822,-11.7497,C1b
#31,Oxygen,15.999,20.1071,-14.6426,O1a
#32,Oxygen,15.999,23.1529,-14.6426,O2b
#33,Phosphorus,30.97376,24.5529,-14.6426,P1b
#34,Oxygen,15.999,24.5529,-13.2426,O1c
#35,Oxygen,15.999,25.9529,-14.6426,O1c
#36,Oxygen,15.999,24.5529,-16.0426,O1c
#37,Carbon,12.011,16.38,-10.36,C8y
#38,Carbon,12.011,16.38,-11.76,C8y
#39,Nitrogen,14.007,18.8049,-11.76,N4y
#4,Carbon,12.011,12.6897,-17.78,C1b
#40,Carbon,12.011,18.8049,-10.36,C8x
#41,Nitrogen,14.007,17.5924,-9.66,N5x
#42,Carbon,12.011,15.1676,-9.66,C8y
#43,Nitrogen,14.007,13.9551,-10.36,N5x
#44,Carbon,12.011,13.9551,-11.76,C8x
#45,Nitrogen,14.007,15.1676,-12.46,N5x
#46,Nitrogen,14.007,15.1676,-8.2602,N1a
#47,Oxygen,15.999,26.0645,-12.182,O2b
#48,Phosphorus,30.97376,27.4645,-12.182,P1b
#49,Oxygen,15.999,27.4645,-10.782,O1c
#5,Carbon,12.011,13.9022,-18.48,C1b
#50,Oxygen,15.999,28.8645,-12.182,O1c
#51,Oxygen,15.999,27.4645,-15.402,O2c
#52,Carbon,12.011,7.8233,-17.7702,C1b
#53,Carbon,12.011,6.6192,-18.4653,C1a
#6,Nitrogen,14.007,15.1146,-17.78,N1b
#7,Carbon,12.011,16.327,-18.48,C5a
#8,Carbon,12.011,17.5395,-17.78,C1b
#9,Carbon,12.011,18.7519,-18.48,C1b
