unique_id,mz,ppm,precursorType,score
LMGP01010543,744,0.394,[M]+,0
LMGP01011354,744,0.394,[M]+,0
LMGP01011396,744,0.394,[M]+,0
LMGP01011443,744,0.394,[M]+,0
LMGP01011465,744,0.394,[M]+,0
LMGP01011481,744,0.394,[M]+,0
LMGP01011528,744,0.394,[M]+,0
LMGP01011557,744,0.394,[M]+,0
LMGP01011599,744,0.394,[M]+,0
LMGP01011618,744,0.394,[M]+,0
LMGP01011759,744,0.394,[M]+,0
LMGP01011836,744,0.394,[M]+,0
LMGP02010039,744,0.394,[M]+,0
LMGP02010044,744,0.394,[M]+,0
LMGP02010052,744,0.394,[M]+,0
LMGP02010109,744,0.394,[M]+,0
LMGP02010420,744,0.394,[M]+,0
LMGP02010448,744,0.394,[M]+,0
LMGP02010510,744,0.394,[M]+,0
LMGP02010530,744,0.394,[M]+,0
LMGP02010578,744,0.394,[M]+,0
LMGP02010607,744,0.394,[M]+,0
LMGP02010774,744,0.394,[M]+,0
LMGP02010802,744,0.394,[M]+,0
LMGP02010848,744,0.394,[M]+,0
LMGP02010877,744,0.394,[M]+,0
LMGP02011043,744,0.394,[M]+,0
LMGP02011073,744,0.394,[M]+,0
LMGP02011193,744,0.394,[M]+,0
LMGP02011270,744,0.394,[M]+,0
LMGP10010244,744,16.5,[M+H]+,0
LMGP10010272,744,16.5,[M+H]+,0
LMGP10010301,744,16.5,[M+H]+,0
LMGP10010359,744,16.5,[M+H]+,0
LMGP10010468,744,16.5,[M+H]+,0
LMGP10010498,744,16.5,[M+H]+,0
LMGP10010544,744,16.5,[M+H]+,0
LMGP10010573,744,16.5,[M+H]+,0
LMGP10010685,744,16.5,[M+H]+,0
LMGP10010708,744,16.5,[M+H]+,0
LMGP10010733,744,16.5,[M+H]+,0
LMGP10010763,744,16.5,[M+H]+,0
LMSP05010099,744,10.7,[M]+,0
LMSP05010118,744,10.7,[M]+,0
