id,mz,rt,intensity,KEGGId,exactMass,formula,name,precursorType,ppm,inferLevel,forward,reverse,jaccard,parentTrace,inferSize,score1,score2,pvalue,seed,partnerKEGGId,KEGG_reaction,reaction
M185T716,185.007797241211,715.629,3878141.246185,C01005,185.0089,C3H8NO6P,O-Phospho-L-serine,[M]+,6,Ms2,0.995352076307517,0.996563769536968,1,0.995352076307517,2,0,0,0.000298237972489623,M185T742: C03232,C03232,RC00006,C1c-C5a:N1a+*-*+O5a:C1b+C6a-C1b+C6a
M313T801,313.235076904297,801.28668,1982760.669067,C14765,294.2195,C18H30O3,13-OxoODE,[M+H+H2O]+,9,Ms1,0.280815415505775,0.435495567595772,0.111111111111111,0.25,2,0,0,0.00134064959493641,M297T823: C14762,C14762,RC00241,C1c-C5a:*-*:C1b+C2b+O1a-C1b+C2b+O5a
M313T801,313.235076904297,801.28668,1982760.669067,C19618,312.2301,C18H32O4,"Octadec-9-ene-1,18-dioic-acid",[M+H]+,9,Ms1,0.280815415505775,0.435495567595772,0.111111111111111,0.25,2,0,0,0.00134614583518866,M297T823: C19617,C19617,RC00080,C4a-C6a:*-O6a:C1b+O4a-C1b+O6a
M559T891,559.131731899799,891.07422,8961749.606689,C20765,559.1332,C18H31N3O13P2,dTDP-beta-L-evernosamine,[M]+,3,Ms1,0,0,0,0.25,2,0,0,0.00202523608621008,M592T825: C20767,C20767,RC03231,N1a-N2b:*-O3a:C1z-C1z
M563T940,563.413121327389,939.501,2357861.651855,C05200,562.4022,C37H54O4,"3-Hexaprenyl-4,5-dihydroxybenzoate",[M+H]+,5,Ms1,0.545062073074253,0.374976586602753,0.25,0.25,2,0,0,0.000948165528113831,M546T833: C13425,C13425,RC00046,C8x-C8y:*-O1a:C8x+C8y-C8x+C8y
M422T912,422.303283691406,911.51196,2624769.470459,C20530,421.2981,C28H39NO2,Paspaline,[M+H]+,6,Ms1,0,0,0,0.25,2,0,0,0.00240068527829518,M454T834: C20587,C20587,RC03242,C1a-C4a:*-O4a:C1z-C1z
M279T820,279.232269287109,819.95898,3523872.449047,C06427,278.2246,C18H30O2,"(9Z,12Z,15Z)-Octadecatrienoic acid",[M+H]+,1,Ms1,0.218222532024093,0.117130790683144,0,0.25,2,0,0,0.00141299845468978,M311T842: C04785,C04785,RC00561,C1b-C2b:*-*:C2b+C2b-C2b+C2b C2b-C1c:*-O2a:C1b+C2b-C1b+C2b
M313T801,313.235076904297,801.28668,1982760.669067,C04780,294.2195,C18H30O3,"8-[(1R,2R)-3-Oxo-2-{(Z)-pent-2-enyl}cyclopentyl]octanoate",[M+H+H2O]+,9,Ms1,0.202452242585705,0.117130790683144,0,0.25,2,0,0,0.00202191330717549,M311T842: C01226,C01226,RC00921,C1x-C2x:*-*:C1x+C1y-C2x+C1y C1x-C2x:*-*:C1x+C5x-C2x+C5x
M501T912,501.376234737385,912.41628,2387620.429199,C19892,482.3549,C35H46O,"4'-Apo-beta,psi-caroten-4'-al",[M+H+H2O]+,6,Ms1,0.0953209064568333,0.0624053599731973,0.142857142857143,0.25,2,0,0,0.00179531348938,M517T857: C08607,C08607,RC00254,C4a-C6a:*-O6a:C2c+O4a-C2c+O6a
M325T913,325.271392822266,913.30326,1837203.044678,C21978,306.2559,C20H34O2,"Cyclooctat-9-ene-5,7-diol",[M+H+H2O]+,9,Ms1,0.0949371695277667,0.0547275228960836,0,0.25,2,0,0,0.00236115681188354,M341T859: C21979,C21979,RC03228,C1a-C1b:*-O1a:C1y-C1y
M487T875,487.360900878906,875.19378,1181728.341797,C16260,468.3451,C27H48O6,Scymnol,[M+H+H2O]+,5,Ms1,0,0,0,0.25,2,0,0,0.00229378504055111,M548T863: C16261,C16261,RC00134,O1a-O2a:*-S4a:C1b-C1b
M450T846,450.319396972656,845.72682,2132658.942993,C05466,449.3141,C26H43NO5,Glycochenodeoxycholate,[M+H]+,6,Ms1,0,0,0,0.25,2,0,0,0.00232719046955254,M548T863: C15559,C15559,RC00231,O1a-O2a:*-S4a:C1y-C1y
M548T863,548.301154561799,863.2116,1418300.113159,C16261,548.3019,C27H48O9S,5beta-Scymnol sulfate,[M]+,1,Ms1,0,0,0,0.25,2,0,0,0.00191474636699684,M487T875: C16260,C16260,RC00134,O1a-O2a:*-S4a:C1b-C1b
M341T859,341.266450510052,858.74784,5230391.462402,C21979,322.2508,C20H34O3,Cyclooctatin,[M+H+H2O]+,8,Ms1,0.0547275228960836,0.0949371695277667,0,0.25,2,0,0,0.00226355460277339,M325T913: C21978,C21978,RC03228,C1a-C1b:*-O1a:C1y-C1y
M947T842,947.286682128906,842.3751,2904171.80426,C16296,947.2821,C44H51O23,Malvidin-3-(p-coumaroyl)-rutinoside-5-glucoside,[M]+,5,Ms1,0,0,0,0.25,2,0,0,0.00224252060291974,M934T925: C16295,C16295,RC00392,O1a-O2a:*-C1a:C8y-C8y
M767T104,767.108520359679,103.624902,2349852.57373,C00010,767.1152,C21H36N7O16P3S,CoA,[M]+,9,Ms1,0.32776564389903,0.0725840433856561,0,0.25,2,0,0,0.00186078007928159,M839T104: C00313,C00313,RC00004,S1a-S2a:*-C5a:C1b-C1b
M912T927,912.214233398438,927.34746,16694224.38184,C20748,893.2071,C28H48N8O17P3S,(E)-4-(Trimethylammonio)but-2-enoyl-CoA,[M+H+H2O]+,12,Ms2,0.997734267063393,0.996622395166765,1,0.996622395166765,2,0,0,0.000333561053874831,M912T936: C20750,C20750,RC01095,C1b-C2b:*-*:C1c+C5a-C2b+C5a C1c-C2b:O1a-*:C1b+C1b-C1b+C2b
M911T911,911.213562011719,911.1948,27777145.02734,C20750,911.2177,C28H50N8O18P3S,L-Carnitinyl-CoA,[M]+,5,Ms2,0.984010869481942,0.981593185798726,0.666666666666667,0.981593185798726,2,0,0,0.000332005034625382,M912T936: C20748,C20748,RC01095,C1b-C2b:*-*:C1c+C5a-C2b+C5a C1c-C2b:O1a-*:C1b+C1b-C1b+C2b
M912T927,912.214233398438,927.34746,16694224.38184,C20750,911.2177,C28H50N8O18P3S,L-Carnitinyl-CoA,[M+H]+,12,Ms2,0.997734267063393,0.996622395166765,1,0.996622395166765,2,0,0,0.000333794858850212,M912T936: C20748,C20748,RC01095,C1b-C2b:*-*:C1c+C5a-C2b+C5a C1c-C2b:O1a-*:C1b+C1b-C1b+C2b
M546T833,546.401214076735,832.7154,880213.518898,C13425,546.4073,C37H54O3,3-Hexaprenyl-4-hydroxybenzoate,[M]+,11,Ms1,0.374976586602753,0.545062073074253,0.25,0.25,2,0,0,0.0011369928463556,M563T940: C05200,C05200,RC00046,C8x-C8y:*-O1a:C8x+C8y-C8x+C8y
M592T825,592.129233320519,825.02526,994534.7003174,C20767,573.1125,C18H29N3O14P2,"dTDP-2,3,6-trideoxy-3-C-methyl-4-O-methyl-3-nitroso-beta-L-arabino-hexopyranose",[M+H+H2O]+,3,Ms1,0,0,0,0.25,2,0,0,0.00204099396672119,M559T891: C20765,C20765,RC03231,N1a-N2b:*-O3a:C1z-C1z
M595T98,595.166198730469,98.365086,698282.4711914,C08620,595.1663,C27H31O15,Cyanidin 3-O-rutinoside,[M]+,0,Ms1,0,0,0,0.25,2,0,0,0.00353808010950263,M758T896: C12646,C12646,RC00171,O1a-O2a:*-C1y:C8y-C8y
M758T896,758.222290039063,895.65228,1438912.788269,C12646,757.2191,C33H41O20,Cyanidin 3-O-rutinoside 5-O-beta-D-glucoside,[M+H]+,6,Ms1,0,0,0,0.25,2,0,0,0.00521311314146211,M595T98: C08620,C08620,RC00171,O1a-O2a:*-C1y:C8y-C8y
M776T904,776.232177734375,903.66504,1532607.138916,C12646,757.2191,C33H41O20,Cyanidin 3-O-rutinoside 5-O-beta-D-glucoside,[M+H+H2O]+,7,Ms1,0,0,0,0.25,2,0,0,0.00555289307272,M595T98: C08620,C08620,RC00171,O1a-O2a:*-C1y:C8y-C8y
M185T830,185.007705688477,830.30286,7503261.963448,C03671,184.0008,C7H4O6,"2-Pyrone-4,6-dicarboxylate",[M+H]+,5,Ms1,0.278201108822735,0.159869775560802,0.111111111111111,0.25,2,0,0,0.00142017923193749,M203T974: C05616,C05616,RC02694,C6a-C8y:O6a+*-*+C8y:C8y+O6a-C8y+O1a C8y-C8y:O7x+*-*+C8y:C8x+O6a-C8x+O2a O6a-O2a:*-C1a:C8y-C8y O7x-O1a:C8y-*:C8y-C8y
M154T770,153.993606567383,770.3766,6905376.015839,C20798,153.9936,C3H6O5S,2-Hydroxy-3-oxopropane-1-sulfonate,[M]+,0,Ms1,0,0,0,0.25,2,0,0,0.00180914335508486,M343T979: C20831,C20831,RC00439,C1y-C4a:C1y-*:C1y+O1a-C1c+O4a O2x-O1a:C1z-*:C1y-C1c
M251T960,250.960890320995,959.949,3039905.377842,C11536,249.9548,C3H7O9PS,(2R)-O-Phospho-3-sulfolactate,[M+H]+,7,Ms1,0,0,0,0.25,2,0,0,0.00247979996063075,M168T984: C00074,C00074,RC01799,C1b-C2a:S4a-*:C1c-C2c C1c-C2c:*-*:C1b+C6a+O2b-C2a+C6a+O2b
M168T1008,167.982360839844,1008.4479,16253559.81668,C02798,167.9824,C3H5O6P,3-Phosphonopyruvate,[M]+,0,Ms2,0.991546062252721,0.994254030020347,0.666666666666667,0.991546062252721,2,0,0,0.000304183308976302,M168T1034: C00074,C00074,RC02792,C1b-C2a:P1b-*:C5a-C2c C5a-C2c:*-*:C1b+C6a+O5a-C2a+C6a+O2b O5a-O2b:*-P1b:C5a-C2c P1b-P1b:C1b+*-*+O2b:O1c+O1c+O1c-O1c+O1c+O1c
M228T738,228.007736206055,738.021,3986043.891037,C21613,228.0035,C5H9O8P,(R)-2-(Phosphonomethyl)malate,[M]+,19,Ms1,0.371877834732481,0.104665910679619,0,0.25,2,0,0,0.00365031234290147,M168T1034: C02798,C02798,RC00067,C1d-C5a:C1b-*:C1b+C6a+O1a-C1b+C6a+O5a
