fromNode,toNode,value,interaction_type,selfLoop,label,guid
C02679,C21080,0.0114373723615293,Ms1,False,,0
C00779,C01173,1,Ms2,False,,1
C00811,C05627,0.25,Ms1,False,,10
C21092,C00407,1,Ms2,False,,100
C01249,C01717,0.25,Ms1,False,,1000
C14801,C14800,0.937669588803271,Ms2,False,,1001
C00232,C05601,0.25,Ms1,False,,1002
C00232,C06201,0.25,Ms1,False,,1003
C02298,C02172,0.25,Ms1,False,,1004
C05340,C02385,0.25,Ms1,False,,1005
C00062,C00792,0.516072096232039,Ms2,False,,1006
C00398,C06213,0.25,Ms1,False,,1007
C21602,C08304,0.25,Ms1,False,,1008
C00123,C02710,0.25,Ms1,False,,1009
C02486,C00123,1,Ms2,False,,101
C00792,C00062,0.516072096232039,Ms2,False,,1010
C00148,C20656,0.234808355443072,Ms1,False,,1011
C01176,C05497,0.25,Ms1,False,,1012
C01176,C05488,0.25,Ms1,False,,1013
C05475,C02140,0.25,Ms1,False,,1014
C05478,C05477,0.25,Ms1,False,,1015
C11004,C16570,0.0625,Ms1,False,,1016
C02846,C01183,0.0625,Ms1,False,,1017
C03765,C00483,0.310851561307996,Ms2,False,,1018
C06593,C02378,0.0625,Ms2,False,,1019
C06593,C02378,0.0625,Ms2,False,,102
C07501,C16586,0.0625,Ms1,False,,1020
C00082,C20800,0.156630833071106,Ms1,False,,1021
C01089,C00164,0.0625,Ms1,False,,1022
C06001,C06002,0.0625,Ms1,False,,1023
C05984,C00109,0.0625,Ms1,False,,1024
C00989,C00232,0.0625,Ms1,False,,1025
C01188,C00349,0.0625,Ms1,False,,1026
C00062,C06655,0.25,Ms1,False,,1027
C00062,C04137,0.25,Ms1,False,,1028
C00431,C00990,0.058702088860768,Ms1,False,,1029
C00123,C02486,1,Ms2,False,,103
C03684,C20264,0.0625,Ms1,False,,1030
C06313,C00272,0.0625,Ms1,False,,1031
C01173,C00779,1,Ms2,False,,1032
C00779,C01173,1,Ms2,False,,1033
C20894,C19730,0.25,Ms1,False,,1034
C02378,C06593,6.07809420942904E-05,Ms1,False,,1035
C00601,C02083,0.0451487220553334,Ms2,False,,1036
C00601,C20782,0.0451487220553334,Ms2,False,,1037
C02083,C00601,0.0481675438552757,Ms2,False,,1038
C00637,C00955,0.25,Ms1,False,,1039
C00407,C21092,1,Ms2,False,,104
C20515,C20514,0.25,Ms1,False,,1040
C04277,C01255,0.997697662827697,Ms2,False,,1041
C00078,C00398,0.25,Ms1,False,,1042
C08304,C21602,0.25,Ms1,False,,1043
C21761,C00318,0.25,Ms1,False,,1044
C14789,C14790,0.25,Ms1,False,,1045
C03767,C04404,0.25,Ms1,False,,1046
C16589,C16590,0.25,Ms1,False,,1047
C20186,C14831,2.1198504559953E-06,Ms2,False,,1048
C14827,C19827,1.17302688357256E-06,Ms2,False,,1049
C00148,C20656,0.25,Ms1,False,,105
C19827,C14827,4.02771586639106E-06,Ms2,False,,1050
C14831,C20186,1.17302688357256E-06,Ms2,False,,1051
C14831,C07354,1.17302688357256E-06,Ms2,False,,1052
C00062,C00792,0.277300077609877,Ms2,False,,1053
C00123,C02710,0.25,Ms1,False,,1054
C00398,C06213,0.0625,Ms1,False,,1055
C21602,C08304,0.0625,Ms1,False,,1056
C00792,C00062,0.277300077609877,Ms2,False,,1057
C05340,C02385,0.0625,Ms1,False,,1058
C00740,C00065,1,Ms2,False,,1059
C14827,C19827,0.00813101494528241,Ms2,False,,106
C00148,C20656,0.232138760065467,Ms1,False,,1060
C00328,C01252,0.0625,Ms1,False,,1061
C14800,C14801,0.234417397200818,Ms1,False,,1062
C00954,C05835,0.0625,Ms1,False,,1063
C06593,C02378,1,Ms2,False,,1064
C00123,C02486,1,Ms2,False,,1065
C00407,C21092,1,Ms2,False,,1066
C02378,C06593,1,Ms2,False,,1067
C21092,C00407,1,Ms2,False,,1068
C02486,C00123,1,Ms2,False,,1069
C20186,C14831,0.0146940671018264,Ms2,False,,107
C03838,C03090,0.25,Ms1,False,,1070
C05652,C05651,0.25,Ms1,False,,1071
C05645,C03227,0.25,Ms1,False,,1072
C15987,C00232,1.4210854715202E-14,Ms1,False,,1073
C20614,C21251,0.25,Ms1,False,,1074
