id,mz,rt,intensity,KEGGId,exactMass,formula,name,precursorType,mzCalc,ppm,inferLevel,forward,reverse,jaccard,parentTrace,inferSize,score1,score2,pvalue,seed,partnerKEGGId,KEGG_reaction,reaction,fileName,scanId
M217T1,217.179962158203,0.7461,4127560,C21080,216.1725,C12H24O3,7-Hydroxydodecanoate,[M+H]+,0,2,Ms1,0,0,0,0.0114373723615293,6,0,0,0.00339513974196137,M219T372: C02679,C02679,RC00709,C1b-C1c:*-O1a:C1b+C1b-C1b+C1b,,0
M195T1,195.065292358398,1.1348,1705438.375,C01173,176.0473,C10H8O3,"1,3,8-Naphthalenertriol",[M+H+H2O]+,0,2,Ms2,1,0.995996760714496,0.5,0.99200954735377,26,0,0,0.000332092585994648,M195T198: C00779,C00779,RC00803,C1x-C8x:*-*:C1y+C5x-C8x+C8y C1x-C8x:*-*:C1y+C8y-C8x+C8y C1y-C8x:O1a-*:C1x+C1x-C8x+C8x C5x-C8y:*-*:C1x+C8y+O5x-C8x+C8y+O1a,,0
M195T1,195.065292358398,1.1348,1705438.375,C00779,194.0579,C10H10O4,Scytalone,[M+H]+,0,2,Ms2,1,0.995996760714496,0.5,0.99200954735377,26,0,0,0.000333180849936054,M195T198: C01173,C01173,RC00803,C1x-C8x:*-*:C1y+C5x-C8x+C8y C1x-C8x:*-*:C1y+C8y-C8x+C8y C1y-C8x:O1a-*:C1x+C1x-C8x+C8x C5x-C8y:*-*:C1x+C8y+O5x-C8x+C8y+O1a,,0
M279T1,279.159149169922,1.3239,1624647.375,C03343,278.1518,C16H22O4,2-Ethylhexyl phthalate,[M+H]+,0,2,Ms1,0.270830953403752,0.600771122180952,0.142857142857143,2.38418579101563E-07,12,0,0,0.00175911407549934,M391T763: C03690,C03690,RC00020,O6a-O7a:*-C1b:C6a-C7a,,0
M445T2,445.119323730469,2.1168,1654237.75,C20656,444.1158,C15H21N6O8P,(L-Prolyl)adenylate,[M+H]+,0,10,Ms1,0,0,0,0.23325632169403,17,0,0,0.00489597469186065,M116T503: C00148,C00148,RC00043,O6a-O7a:*-P1b:C6a-C7a,,0
M102T5,102.033737182617,4.5234,851015.75,C00232,102.0317,C4H6O3,Succinate semialdehyde,[M]+,0,20,Ms1,0,0,0,0.015625,4,0,0,0.00791502145820666,M137T154: C00042,C00042,RC00080,C4a-C6a:*-O6a:C1b+O4a-C1b+O6a,,0
M102T5,102.033737182617,4.5234,851015.75,C00109,102.0317,C4H6O3,2-Oxobutanoate,[M]+,0,20,Ms1,0,0,0,0.249789819578937,4,0,0,0.00543023314265123,M150T138: C00073,C00073,RC00348,C1a-C1b:*-S2a:C1b-C1b C5a-C1c:O5a+*-*+N1a:C1b+C6a-C1b+C6a,,0
M102T5,102.033737182617,4.5234,851015.75,C06002,102.0317,C4H6O3,(S)-Methylmalonate semialdehyde,[M]+,0,20,Ms1,0,0,0,0.015625,4,0,0,0.00791502145820666,M137T154: C02170,C02170,RC00242,C4a-C6a:*-O6a:C1c+O4a-C1c+O6a,,0
M102T5,102.033737182617,4.5234,851015.75,C00349,102.0317,C4H6O3,2-Methyl-3-oxopropanoate,[M]+,0,20,Ms1,0,0,0,0.015625,4,0,0,0.00791502145820666,M104T104: C01205,C01205,RC00160,C1b-C4a:N1a+*-*+O4a:C1c-C1c,,0
M324T6,324.217224121094,5.5112,532717.375,C06866,305.1991,C18H27NO3,Capsaicin,[M+H+H2O]+,0,1,Ms1,0,0,0,0.25,2,0,0,0.00340296336264467,M189T710: C18202,C18202,RC00090,C5a-C6a:N1b+*-*+O6a:C1b+O5a-C1b+O6a,,0
