,m/z,theoretical_mz,ppm,precursor_type,name,formula,exact_mass,cas,biocyc,chebi,chembl,drugbank,hmdb,kegg,knapsack,lipidbank,lipidmaps,metabolights,pubchem,wikipedia
MSI00001,154.1419,154.1439,13,[M+K]+,Butyl isothiocyanate,C5H9NS,115.04557046,592-82-5,,CHEBI:50534,,,HMDB0031328,,,,,,11613,
MSI00002,404.1423,404.1422,0,[M]+,"N-benzyl-2,6-dichloro-N-(1-propan-2-ylpiperidin-4-yl)benzamide",C22H26Cl2N2O,404.1422188,,,,,,,,,,,,155518272,
MSI00003,433.1496,433.1499,1,[M+H]+,"3,3',4',5,6,7,8-Heptamethoxyflavone",C22H24O9,432.14203234,1178-24-1,,CHEBI:176100,,,HMDB0037689,,,,LMPK12113345,,150893,
MSI00004,374.1316,374.1318,1,[M]+,"(2S)-1-(4-fluorophenyl)-2-[(9S)-2-methyl-9H-xanthen-9-yl]butane-1,3-dione",C24H19FO3,374.13182263,,,,,,,,,,,,1325398,
MSI00005,365.1057,365.1060,1,[M+Na]+,Lactose,C12H22O11,342.1162,,,,,,,C00243,,,,,,
MSI00006,168.1018,168.1025,4,[M]+,(R)-synephrine,C9H14NO2+,168.102453689,,,CHEBI:63694,,,,,,,,,6951208,
MSI00007,329.0688,329.0693,2,[M+H]+,Oxazepam acetate,C17H13ClN2O3,328.06147,1824-74-4,,,,DB14672,,,,,,,102697,
MSI00008,359.1125,359.1130,2,[M+Na]+,Berberine,C20H18NO4,336.1236,,,,,,,C00757,,,,,,
MSI00009,389.1231,389.1240,1,[M+H]+,"(1'S,5'R)-5'-Hydroxyaverantin",C20H20O8,388.1158,,,,,,,C20501,,,,,,
MSI00010,148.0757,148.0760,3,[M-H2O+NH4]+,3-Isochromanone,C9H8O2,148.0524,,,,,,,C07728,,,,,,
MSI00011,133.0608,133.0613,4,[M+H]+,3-Ureidopropionic acid,C4H8N2O3,132.05349212,462-88-4,,CHEBI:18261,,,HMDB0000026,C02642,,,,,111,3-Ureidopropionic_acid
MSI00012,229.0091,229.0088,1,[M+Na]+,4-Trifluoromethylsalicylic acid,C8H5F3O3,206.0190785,328-90-5,,CHEBI:174020,,,HMDB0060715,,,,,,164578,
MSI00013,335.1026,335.1025,0,[M-H2O+NH4]+,S-Formylglutathione,C11H17N3O7S,335.07872106,50409-81-9,,CHEBI:16225,,,HMDB0001550,C01031,,,,,189122,
MSI00014,344.1210,344.1260,15,[M+Na]+,Acronycine,C20H19NO3,321.1365,,,,,,,C10632,,,,,,
MSI00015,401.0745,401.0747,0,[M]+,2-(Nitrooxy)ethyl [(5-hydroxy-4-oxo-2-phenyl-4H-1-benzopyran-7-yl)oxy]acetate,C19H15NO9,401.07468106,1227681-44-8,,,,,,,,,,,53486700,
MSI00016,379.0925,379.0940,5,[M+K]+,"beta-D-Fructose 2,6-bisphosphate",C6H14O12P2,339.996,,,,,,,C00665,,,,,,
MSI00017,291.1128,291.1120,3,[M]+,"7-(4-Methoxyphenyl)-2-(1-pyrrolyl)-[1,2,4]triazolo[1,5-a]pyrimidine",C16H13N5O,291.11201006,,,CHEBI:105219,,,,,,,,,1471640,
MSI00018,130.0864,130.0868,3,[M+H]+,4-Acetamidobutanal,C6H11NO2,129.078978594,24431-54-7,,CHEBI:7386,,,HMDB0004226,C05936,,,,,440850,
MSI00019,144.1019,144.1010,6,[M]+,4-Guanidinobutanamide,C5H12N4O,144.1011,,,,,,,C03078,,,,,,
MSI00020,456.0079,456.0080,0,[M]+,CID 33676924,C16H19Cl3N2O5S,456.008026,,,,,,,,,,,,33676924,
MSI00021,411.0841,411.0834,2,[M]+,Allyl-{4-[3-(4-bromo-phenyl)-benzofuran-6-yloxy]-but-2-enyl}-methyl-amine,C22H22BrNO2,411.08339,,,,,DB03771,,,,,,,447559,
MSI00022,441.0948,441.0947,0,[M]+,1-(2-Fluorophenyl)-6-hydroxy-5-[(2-phenylindol-3-ylidene)methyl]-2-sulfanylidenepyrimidin-4-one,C25H16FN3O2S,441.0947261,,,,,,,,,,,,1397983,
MSI00023,230.0039,230.0041,1,[M+H]+,"Phosphorothioic acid, O-(4-cyanophenyl) O-methyl ester",C8H8NO3PS,228.99625129,31328-15-1,,,,,,,,,,,6857921,
MSI00024,352.1292,352.1311,5,[M]+,Artonin U,C21H20O5,352.13107373,123549-17-7,,CHEBI:175517,,,HMDB0041113,,,,LMPK12111015,,44258358,
MSI00025,329.1019,329.1030,2,[M+H]+,"7-Hydroxy-2',4',5'-trimethoxyisoflavone",C18H16O6,328.0947,,,,,,,C16188,,,,,,
MSI00026,388.1152,388.1158,2,[M]+,"3'-Hydroxy-5,6,7,8,4'-pentamethoxyflavone",C20H20O8,388.11581759,112448-39-2,,CHEBI:175928,,,HMDB0029545,,,,LMPK12111478,,183466,
MSI00027,333.0870,333.0880,3,[M]+,2-[4-(4-Chloro-2-nitrophenyl)-1-piperazinyl]phenol,C16H16ClN3O3,333.0880191,,,CHEBI:112735,,,,,,,,,5134691,
MSI00028,418.0519,418.0536,4,[M]+,Shoyuflavone C,C19H14O11,418.05361126,194664-54-5,,CHEBI:185734,,,HMDB0034590,,,,,,10070618,
