,xcms_id,mz,rt,MaxInto,Baseline,Integration,Noise,rtmin,rtmax,snRatio
M404T14,M404T14,404.258079520848,14.2572,1213878.125,1415.14306640625,99.3997344970703,0.0530973451327434,12.0446996688843,18.8178005218506,7.53477779208762
M400T8,M400T8,400.312554117714,7.70010000000001,27937.857421875,18867.984375,30.9976539611816,0.104,0.19539999961853,11.1900997161865,5.69727590279058
M400T22,M400T22,400.312554117714,21.7683,22535.005859375,18867.984375,3.12664794921875,0.016,20.0226001739502,22.7682991027832,5.27512804468387
M400T41,M400T41,400.312554117714,40.8723,29749.45703125,18867.984375,48.2775497436523,0.12,27.2147006988525,48.4105987548828,5.99723018018157
M400T51,M400T51,400.312554117714,50.8825999999999,27625.634765625,18867.984375,7.41310119628906,0.016,49.1220016479492,53.6377983093262,6.13841542351614
M400T105,M400T105,400.312554117714,105.231,19820.15234375,18867.984375,0.792686462402344,0.024,101.822998046875,106.231002807617,3.49737393151705
M400T173,M400T173,400.312554117714,173.032,19612.044921875,18867.984375,0.601829528808594,0.016,171.533004760742,175.550994873047,3.62738550823095
M402T5,M402T5,402.294407178925,4.9284,6506.22998046875,5063.5615234375,8.44005966186523,0.048,0.19539999961853,5.92840003967285,5.16954364559851
M402T8,M402T8,402.294407178925,7.7001,8258.068359375,5063.5615234375,10.4502410888672,0.048,5.95340013504028,11.1900997161865,5.38317931692394
M402T18,M402T18,402.294407178925,17.8178,6542.8359375,5063.5615234375,4.14614295959473,0.024,15.5717000961304,18.8178005218506,5.15187994338344
M402T19,M402T19,402.294407178925,19.3352,7176.630859375,5063.5615234375,6.46903610229492,0.04,18.1534996032715,22.2096996307373,5.08590294272989
M402T25,M402T25,402.294407178925,24.8604,8197.8427734375,5063.5615234375,5.92313385009766,0.024,23.6040992736816,26.3904991149902,5.5085671240356
M402T31,M402T31,402.294407178925,31.063,8083.2041015625,5063.5615234375,17.628604888916,0.048,28.5688991546631,34.089599609375,5.90607712856307
M402T36,M402T36,402.294407178925,36.1759,11217.6767578125,5063.5615234375,18.9431533813477,0.024,34.6514015197754,40.2974014282227,6.67114401574104
M402T44,M402T44,402.294407178925,44.0924,7221.97119140625,5063.5615234375,5.44231414794922,0.024,40.8722991943359,45.092399597168,5.42390581389091
M402T44_1,M402T44_1,401.796236791163,44.0924,1450.43090820313,700.614624023438,88.5623168945313,0.292682926829268,1.50789999961853,62.7700996398926,5.71237186683684
M402T51,M402T51,402.294407178925,50.8826,6944.15087890625,5063.5615234375,6.78903961181641,0.032,45.75,51.8825988769531,5.35732886619051
M402T178,M402T178,401.796236791163,177.752,891.367797851563,700.614624023438,5.97339630126953,0.0731707317073171,174.550994873047,180.253005981445,4.40227543836649
M401T14,M401T14,401.273331639062,14.2572,8814.0087890625,3472.16552734375,40.4033508300781,0.112,2.42059993743896,15.2572002410889,5.88816913055327
M401T18,M401T18,401.273331639062,17.8178,4489.0234375,3472.16552734375,3.56163787841797,0.024,15.5717000961304,18.8178005218506,4.9999219659019
M401T24,M401T24,401.273331639062,23.6041,5304.7734375,3472.16552734375,9.1695556640625,0.032,23.0715999603271,26.3904991149902,5.65790820588556
M401T27,M401T27,401.273331639062,27.2147,4125.85205078125,3472.16552734375,2.32326889038086,0.024,26.6828002929688,29.5688991546631,4.57267664707156
M401T33,M401T33,401.273331639062,32.5371,6337.7939453125,3472.16552734375,7.90937423706055,0.024,31.0629997253418,34.089599609375,5.79775011692539
M401T39,M401T39,401.273331639062,39.2974,7607.857421875,3472.16552734375,8.71749114990234,0.024,37.7262992858887,41.8722991943359,5.89503293299083
M401T46,M401T46,401.273331639062,45.75,5512.5703125,3472.16552734375,10.4927749633789,0.048,42.4726982116699,51.8825988769531,5.38724118966332
M410T25,M410T25,409.815071144511,24.8604,2057.99658203125,956.116882324219,77.3512649536133,0.444444444444444,21.2096996307373,41.8722991943359,5.15928714673599
M410T2,M410T2,410.302204957005,1.5079,2024.60241699219,1384.06176757813,0.824016273021698,0.0517241379310345,0.19539999961853,5.19220018386841,2.76826572142338
M410T14,M410T14,410.302204957005,14.2572,143487.359375,1384.06176757813,96.9548187255859,0.0948275862068965,9.44550037384033,24.0715999603271,6.92994000196506
M410T44,M410T44,410.302204957005,44.0924,2175.95971679688,1384.06176757813,0.764305114746094,0.0344827586206897,40.8722991943359,46.75,3.09850762529685
M406T24,M406T24,405.81496794987,23.6041,1934.37487792969,781.424682617188,96.9168701171875,0.4,10.1900997161865,51.8825988769531,5.49014433383413
M406T13,M406T13,406.301630307905,12.9516,13186.8798828125,6994.83056640625,37.898380279541,0.128,0.19539999961853,15.2572002410889,5.69063338955009
M406T21,M406T21,406.301630307905,21.2097,13318.7119140625,6994.83056640625,10.9854888916016,0.048,20.0226001739502,25.8603992462158,5.43312947830069
M406T29,M406T29,406.301630307905,29.1055,15579.5810546875,6994.83056640625,18.2755661010742,0.032,27.2147006988525,31.5144996643066,6.34758435814145
M406T35,M406T35,406.301630307905,34.6514,11157.1650390625,6994.83056640625,18.6206359863281,0.072,31.0629997253418,43.4726982116699,5.55535958731806
M406T47,M406T47,406.301630307905,47.4106,9504.255859375,6994.83056640625,6.36522674560547,0.048,44.092399597168,53.6377983093262,4.88740412326772
M408T6,M408T6,408.319126522093,5.9534,5730.2919921875,3214.83862304688,1.85534131526947,0.0403225806451613,4.19220018386841,8.70009994506836,3.82891232975473
M408T11,M408T11,408.319126522093,11.0085,7227.0732421875,3214.83862304688,3.0003457069397,0.0483870967741935,8.43529987335205,13.0446996688843,4.12724961405254
M408T17,M408T17,408.319126522093,16.9262,116485.1171875,3214.83862304688,88.674919128418,0.0483870967741935,14.2572002410889,21.0226001739502,7.51349918503645
M408T25,M408T25,408.319126522093,24.8604,4388.08447265625,3214.83862304688,0.861930847167969,0.032258064516129,23.0715999603271,26.3904991149902,3.28540696924556
M408T42,M408T42,408.319126522093,42.4727,5147.205078125,3214.83862304688,2.25860595703125,0.0403225806451613,34.6514015197754,43.4726982116699,4.02559144296327
M408T53,M408T53,408.319126522093,52.6378,4456.11669921875,3214.83862304688,1.28439331054688,0.032258064516129,50.8825988769531,57.310001373291,3.68427367947285
M407T2,M407T2,407.2830997347,2.4206,4794.1572265625,3484.6162109375,4.02430772781372,0.024,1.50789999961853,3.95819997787476,5.12205435162245
M407T16,M407T16,407.2830997347,15.5717,8427.1025390625,3484.6162109375,28.9144325256348,0.088,4.92840003967285,16.5717010498047,5.79475933031664
M407T20,M407T20,407.2830997347,20.0226,6199.3818359375,3484.6162109375,11.8205947875977,0.048,16.9262008666992,22.2096996307373,5.5063975992259
M407T27,M407T27,407.2830997347,27.2147,7578.06689453125,3484.6162109375,23.3344192504883,0.08,24.8603992462158,34.089599609375,5.67565813591322
M407T39,M407T39,407.2830997347,39.2974,8183.44091796875,3484.6162109375,15.4375534057617,0.048,34.6514015197754,45.092399597168,5.773357341939
M407T49,M407T49,407.2830997347,49.122,5205.18359375,3484.6162109375,7.35233306884766,0.04,45.75,53.6377983093262,5.21389351205752
M414T9,M414T9,414.313278575007,9.44549999999999,37332.17578125,28170.09765625,13.967658996582,0.104,0.19539999961853,11.1900997161865,4.90010896545143
M414T18,M414T18,414.313278575007,17.8178,67529.265625,28170.09765625,48.0821952819824,0.048,16.9262008666992,22.2096996307373,6.90946621620192
M414T18_1,M414T18_1,413.858449247944,17.8178,2300.43188476563,1052.21899414063,66.4253082275391,0.136363636363636,11.0085000991821,45.092399597168,6.18850829655925
M414T42,M414T42,414.313278575007,42.4727,37872.2890625,28170.09765625,7.20669555664063,0.04,36.1758995056152,43.4726982116699,5.19388635718766
M414T51,M414T51,414.313278575007,50.8826,42698.3125,28170.09765625,12.0336837768555,0.032,45.75,51.8825988769531,5.92972907515945
M414T110,M414T110,414.313278575007,110.147,31778.6328125,28170.09765625,2.74870300292969,0.032,108.643997192383,114.555999755859,4.45314854130769
M414T159,M414T159,414.313278575007,158.512,30321.0859375,28170.09765625,1.04744720458984,0.016,156.998001098633,161.212005615234,4.18152252694011
M414T167,M414T167,414.313278575007,166.627,32742.794921875,28170.09765625,2.20264434814453,0.024,164.927993774414,169.32600402832,4.51936006363245
M414T53,M414T53,413.858449247944,52.6378,1408.232421875,1052.21899414063,18.2942199707031,0.181818181818182,45.75,57.310001373291,4.61133325359967
M412T25,M412T25,411.785006705496,25.3905,2040.09155273438,536.072998046875,53.0248870849609,0.333333333333333,25.3904991149902,50.1220016479492,5.06937365964862
M412T4,M412T4,412.323986795373,4.19220000000001,3931.73315429688,2489.10473632813,8.12198448181152,0.040650406504065,1.50789999961853,5.19220018386841,5.29732096156424
M412T8,M412T8,412.323986795373,7.70010000000001,3730.45190429688,2489.10473632813,8.71036148071289,0.032520325203252,4.92840003967285,9.43529987335205,5.59040328605977
M412T11,M412T11,412.323986795373,11.0085,3377.67822265625,2489.10473632813,3.87982368469238,0.016260162601626,9.44550037384033,12.0085000991821,5.47482688532554
M412T13,M412T13,412.323986795373,12.9516,3428.62060546875,2489.10473632813,5.11502647399902,0.024390243902439,12.0446996688843,15.2572002410889,5.34575464185189
M412T27,M412T27,412.323986795373,27.2147,6302.54443359375,2489.10473632813,36.477912902832,0.0894308943089431,15.5717000961304,28.2147006988525,6.01099603405008
M412T35,M412T35,412.323986795373,34.6514,3079.94653320313,2489.10473632813,2.39052581787109,0.016260162601626,32.5371017456055,35.6514015197754,4.99055052403524
M412T44,M412T44,412.323986795373,44.0924,3891.494140625,2489.10473632813,8.21417236328125,0.040650406504065,40.8722991943359,48.4105987548828,5.30860744233838
M413T2,M413T2,413.267475393889,2.4206,184857.921875,159969.671875,3.76610159873962,0.04,1.50789999961853,5.19220018386841,4.54491623263083
M413T8,M413T8,413.267475393889,7.7001,179626.625,159969.671875,7.91589641571045,0.056,4.92840003967285,12.0085000991821,4.95127653046845
M413T18,M413T18,413.267475393889,18.1535,389551,159969.671875,66.9725112915039,0.048,16.9262008666992,22.7682991027832,7.24083652404638
M413T42,M413T42,413.267475393889,42.4727,189573.5,159969.671875,3.82758331298828,0.024,40.8722991943359,45.092399597168,5.07193506389364
M413T53,M413T53,413.267475393889,52.6378,188430.53125,159969.671875,7.85981750488281,0.048,45.75,55.4464988708496,5.09831765603752
M413T110,M413T110,413.267475393889,110.147,164638.671875,159969.671875,0.610763549804688,0.024,106.945999145508,111.147003173828,3.2366560650611
M413T130,M413T130,413.267475393889,129.998,168859.0625,159969.671875,1.21295166015625,0.016,128.296005249023,132.505996704102,4.32822333443141
M413T139,M413T139,413.267475393889,139.422,170298.90625,159969.671875,2.78472137451172,0.032,136.220001220703,143.447998046875,4.46616719949819
M420T2,M420T2,420.307762244594,2.4206,11021.94921875,6802.5107421875,5.5421199798584,0.032,0.19539999961853,3.42059993743896,5.15439647158741
M420T8,M420T8,420.307762244594,7.7001,11494.3037109375,6802.5107421875,25.1064586639404,0.072,2.95819997787476,10.4455003738403,5.85421429029187
M420T14,M420T14,420.307762244594,14.2572,12539.208984375,6802.5107421875,7.17068862915039,0.016,12.9516000747681,16.5717010498047,6.10516824985925
M420T19,M420T19,420.307762244594,19.3352,10978.7548828125,6802.5107421875,17.421012878418,0.048,16.9262008666992,22.7682991027832,5.89423138237876
M420T29,M420T29,420.307762244594,29.1055,9283.2568359375,6802.5107421875,9.35281372070313,0.064,23.0715999603271,30.1054992675781,4.98454942634742
M420T33,M420T33,420.307762244594,32.5371,9361.5859375,6802.5107421875,8.85270690917969,0.048,30.5144996643066,37.1758995056152,5.21727754577082
M420T51,M420T51,420.307762244594,50.8826,9838.2138671875,6802.5107421875,4.06710815429688,0.016,49.1220016479492,53.6377983093262,5.53809877645299
M420T133,M420T133,420.307762244594,133.008,8030.7119140625,6802.5107421875,2.27962493896484,0.024,131.505996704102,135.714004516602,4.55371237761484
M420T144,M420T144,420.307762244594,143.781,7871.58203125,6802.5107421875,1.95549011230469,0.024,142.447998046875,146.283004760742,4.40034230748336
M420T25,M420T25,419.836027108275,25.3905,2086.53491210938,535.784912109375,43.6539878845215,0.25,14.2572002410889,48.4105987548828,5.16258899970253
M418T18,M418T18,417.771759502491,18.1535,2125.05517578125,553.374450683594,86.3706512451172,0.176470588235294,4.92840003967285,51.8825988769531,6.19324898882922
M418T4,M418T4,418.28971010255,4.1922,2727.38354492188,1600.142578125,6.77903366088867,0.0504201680672269,0.19539999961853,5.19220018386841,4.90119858778519
M418T10,M418T10,418.28971010255,10.1901,1990.02600097656,1600.142578125,2.52442836761475,0.0420168067226891,7.70009994506836,11.1900997161865,4.09570022871141
M418T27,M418T27,418.28971010255,27.2147,6073.2802734375,1600.142578125,72.525764465332,0.151260504201681,11.0085000991821,33.5371017456055,6.17269360588196
M418T39,M418T39,418.28971010255,39.2974,2356.892578125,1600.142578125,8.67731475830078,0.0588235294117647,33.089599609375,45.092399597168,4.99392546522414
M418T47,M418T47,418.28971010255,47.4106,2156.39599609375,1600.142578125,5.74542999267578,0.0504201680672269,45.75,55.4464988708496,4.7357687788021
M418T157,M418T157,418.28971010255,156.998,2134.59375,1600.142578125,2.16553497314453,0.0252100840336134,155.098999023438,159.511993408203,4.45317863613311
M419T2,M419T2,419.269681615495,2.4206,59630.84375,36066.484375,37.1375770568848,0.08,0.19539999961853,9.43529987335205,6.14035796000253
M419T10,M419T10,419.269681615495,10.1901,44685.25390625,36066.484375,5.38906478881836,0.016,9.44550037384033,12.0085000991821,5.81953841804089
M419T14,M419T14,419.269681615495,14.2572,44058.78125,36066.484375,4.40727996826172,0.024,12.0446996688843,15.2572002410889,5.2129591605592
M419T20,M419T20,419.269681615495,20.0226,47156.48046875,36066.484375,14.4589462280273,0.056,18.1534996032715,24.0715999603271,5.55371692735857
M419T29,M419T29,419.269681615495,29.1055,42784.01953125,36066.484375,4.80066680908203,0.04,25.3904991149902,30.1054992675781,4.78763065169251
M419T33,M419T33,419.269681615495,32.5371,42582.4296875,36066.484375,4.12039184570313,0.032,30.5144996643066,33.5371017456055,4.85796764320172
M419T36,M419T36,419.269681615495,36.1759,43929.01953125,36066.484375,11.656867980957,0.032,34.6514015197754,41.8722991943359,5.89791490875418
M419T47,M419T47,419.269681615495,47.4106,43065.38671875,36066.484375,4.53357696533203,0.032,45.75,51.8825988769531,4.95353062116489
M419T159,M419T159,419.269681615495,158.512,38917.078125,36066.484375,2.02135467529297,0.016,156.998001098633,161.212005615234,4.83893447471592
M426T16,M426T16,425.790719419422,15.5717,1581.45581054688,803.445434570313,93.3779602050781,0.357142857142857,10.1900997161865,31.5144996643066,5.56627476246179
M426T2,M426T2,426.333961040149,2.4206,3646.07666015625,2739.509765625,1.31436908245087,0.0483870967741935,0.19539999961853,5.19220018386841,3.30187886166449
M426T9,M426T9,426.333961040149,9.4455,4451.9052734375,2739.509765625,2.59479331970215,0.0483870967741935,4.92840003967285,10.4455003738403,3.98202896423612
M426T14,M426T14,426.333961040149,14.2572,82838.8125,2739.509765625,79.2225570678711,0.0483870967741935,10.1900997161865,16.5717010498047,7.4007831661093
M426T18,M426T18,426.333961040149,18.1535,4272.0029296875,2739.509765625,1.60818481445313,0.032258064516129,16.9262008666992,21.0226001739502,3.90909330299887
M426T23,M426T23,426.333961040149,23.0716,6597.4384765625,2739.509765625,2.73526763916016,0.032258064516129,21.2096996307373,24.0715999603271,4.44021649266835
M426T33,M426T33,426.333961040149,32.5371,4381.1513671875,2739.509765625,1.98834228515625,0.032258064516129,31.0629997253418,35.6514015197754,4.12128847353092
M426T38,M426T38,426.333961040149,37.7263,4841.271484375,2739.509765625,3.13554382324219,0.032258064516129,36.1758995056152,41.8722991943359,4.57678983186495
M426T147,M426T147,426.333961040149,146.985,3430.3359375,2739.509765625,0.663291931152344,0.0161290322580645,143.781005859375,147.985000610352,3.71659431781724
M423T4,M423T4,423.291023461677,4.19220000000001,10553.6044921875,7069.654296875,9.55499458312988,0.048,0.19539999961853,5.19220018386841,5.29361827885161
M423T7,M423T7,423.291023461677,6.5025,10658.9423828125,7069.654296875,12.7390422821045,0.048,4.92840003967285,10.4455003738403,5.58122574130342
M423T13,M423T13,423.291023461677,12.9516,14647.7373046875,7069.654296875,16.3907661437988,0.04,10.1900997161865,15.2572002410889,6.01559396111954
M423T18,M423T18,423.291023461677,17.8178,9764.724609375,7069.654296875,9.21784973144531,0.04,15.5717000961304,21.0226001739502,5.44001761738961
M423T25,M423T25,423.291023461677,24.8604,10270.1162109375,7069.654296875,4.34039306640625,0.024,23.6040992736816,26.3904991149902,5.19766636094182
M423T47,M423T47,423.291023461677,47.4106,14320.9921875,7069.654296875,40.8937683105469,0.128,26.6828002929688,48.4105987548828,5.76670270245739
M424T3,M424T3,424.343546839901,2.9582,16154.015625,11717.8095703125,5.315016746521,0.048,0.19539999961853,5.19220018386841,4.70709043066677
M424T16,M424T16,424.343546839901,15.5717,90937.6015625,11717.8095703125,62.6969375610352,0.112,4.92840003967285,19.1534996032715,6.32756901140636
M424T22,M424T22,424.343546839901,21.7683,15692.30859375,11717.8095703125,3.33325958251953,0.032,20.0226001739502,24.0715999603271,4.64597005501944
M424T29,M424T29,424.343546839901,28.5689,18536.294921875,11717.8095703125,8.249267578125,0.056,25.3904991149902,31.5144996643066,4.99252800624345
M424T33,M424T33,424.343546839901,32.5371,18347.587890625,11717.8095703125,2.91414642333984,0.024,31.0629997253418,34.089599609375,4.79927840337399
M424T41,M424T41,424.343546839901,40.8723,24900.30078125,11717.8095703125,13.6397476196289,0.064,36.1758995056152,48.4105987548828,5.36186034490684
M424T53,M424T53,424.343546839901,52.6378,14914.810546875,11717.8095703125,2.59850311279297,0.024,49.1220016479492,55.4464988708496,4.68463700201901
M424T25,M424T25,423.784418539576,24.8604,2598.67211914063,739.303955078125,79.0927124023438,0.194444444444444,0.19539999961853,55.4464988708496,6.00822952848053
M424T90,M424T90,423.784418539576,90.4841,756.92138671875,739.303955078125,0.687088012695313,0.0833333333333333,88.7826995849609,94.6975021362305,2.10961376646063
M424T159,M424T159,423.784418539576,158.512,1006.18609619141,739.303955078125,12.4884033203125,0.111111111111111,150.386993408203,172.533004760742,4.72202505665759
M425T2,M425T2,425.274826787834,2.4206,4720.130859375,3006.130859375,0.235705688595772,0.024,1.50789999961853,3.95819997787476,2.28453011420223
M425T6,M425T6,425.274826787834,5.95339999999999,4339.7841796875,3006.130859375,0.192198902368546,0.024,4.19220018386841,6.95340013504028,2.08047695529028
M425T14,M425T14,425.274826787834,14.2572,629977.75,3006.130859375,97.0747146606445,0.056,12.0446996688843,19.1534996032715,7.45788452449027
M425T29,M425T29,425.274826787834,28.5689,5595.9912109375,3006.130859375,0.531272888183594,0.024,26.6828002929688,30.1054992675781,3.09722197260231
M425T35,M425T35,425.274826787834,34.6514,5170.49462890625,3006.130859375,0.291114807128906,0.016,32.5371017456055,35.6514015197754,2.90112899334288
M432T41,M432T41,431.762479000205,40.8723,1048.33020019531,474.085083007813,41.3857803344727,0.142857142857143,20.0226001739502,55.4464988708496,5.66884750070537
