,Cluster,x,y
"1,302",1,1,302
"1,303",1,1,303
"1,304",1,1,304
"2,302",1,2,302
"2,303",1,2,303
"2,304",1,2,304
"2,305",1,2,305
"1,306",-1,1,306
"2,307",-1,2,307
"5,310",-1,5,310
"9,797",-1,9,797
"10,311",-1,10,311
"11,312",-1,11,312
"12,310",-1,12,310
"18,804",-1,18,804
"19,360",-1,19,360
"19,803",-1,19,803
"20,359",-1,20,359
"21,358",-1,21,358
"22,357",-1,22,357
"23,356",-1,23,356
"23,802",-1,23,802
"23,804",-1,23,804
"24,352",-1,24,352
"32,812",-1,32,812
"35,546",-1,35,546
"39,401",-1,39,401
"39,814",-1,39,814
"39,816",-1,39,816
"40,360",-1,40,360
"41,626",-1,41,626
"41,815",-1,41,815
"42,628",-1,42,628
"45,486",-1,45,486
"46,487",-1,46,487
"46,631",-1,46,631
"46,792",-1,46,792
"47,488",-1,47,488
"47,630",-1,47,630
"50,501",-1,50,501
"52,295",-1,52,295
"53,492",-1,53,492
"57,488",-1,57,488
"57,494",-1,57,494
"59,488",-1,59,488
"73,789",-1,73,789
"73,791",-1,73,791
"76,794",-1,76,794
"81,854",-1,81,854
"86,416",-1,86,416
"86,633",-1,86,633
"87,448",-1,87,448
"87,827",-1,87,827
"89,414",-1,89,414
"90,412",-1,90,412
"95,865",-1,95,865
"97,865",-1,97,865
"98,866",-1,98,866
"101,691",-1,101,691
"107,562",-1,107,562
"109,563",-1,109,563
"109,573",-1,109,573
"111,520",-1,111,520
"111,564",-1,111,564
"112,475",-1,112,475
"115,577",-1,115,577
"116,572",-1,116,572
"117,577",-1,117,577
"117,858",-1,117,858
"120,452",-1,120,452
"120,845",-1,120,845
"122,709",-1,122,709
"124,708",-1,124,708
"133,376",-1,133,376
"134,371",-1,134,371
"134,375",-1,134,375
"135,372",-1,135,372
"136,431",-1,136,431
"137,430",-1,137,430
"143,865",-1,143,865
"146,531",-1,146,531
"146,547",-1,146,547
"148,547",-1,148,547
"149,548",-1,149,548
"155,367",-1,155,367
"155,369",-1,155,369
"168,344",-1,168,344
"169,471",-1,169,471
"194,408",-1,194,408
"197,407",-1,197,407
"199,406",-1,199,406
"200,407",-1,200,407
"203,618",-1,203,618
"205,618",-1,205,618
"206,524",-1,206,524
