proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\NamespaceDoc.vb,7,3,0,4,1,0,1,0,0,252,252 B
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\SpectrumTree.vb,40,9,5,26,1,0,1,2,0,1556,1.56 KB
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\Utils.vb,19,0,3,16,1,0,0,1,0,542,542 B
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\ASCII\MGF\Ions.vb,109,42,12,55,1,12,0,3,0,3498,3.50 KB
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\ASCII\MGF\MetaData.vb,144,0,23,121,1,12,2,1,0,3940,3.94 KB
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\ASCII\MGF\MgfReader.vb,140,6,18,116,1,0,0,7,0,5603,5.60 KB
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\ASCII\MGF\MgfWriter.vb,184,20,23,141,1,0,3,6,0,6866,6.87 KB
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\ASCII\MSL\FileReader.vb,132,1,21,110,1,0,0,5,0,5694,5.69 KB
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\ASCII\MSL\MSLIon.vb,30,4,5,21,1,12,0,1,0,1220,1.22 KB
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\ASCII\MSN\FileReader.vb,33,5,6,22,1,0,0,1,0,1169,1.17 KB
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\ASCII\MSN\MsnList.vb,71,0,10,61,1,9,0,3,0,2512,2.51 KB
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\ASCII\MSN\PeakTable.vb,59,0,8,51,1,11,0,3,0,2118,2.12 KB
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\ASCII\MSP\Comments.vb,53,16,9,28,1,0,0,2,0,1820,1.82 KB
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\ASCII\MSP\MspData.vb,88,27,10,51,1,16,0,4,0,3529,3.53 KB
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\ASCII\MSP\MspParser.vb,201,22,28,151,3,0,1,7,0,7755,7.75 KB
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\ASCII\Raman\FileReader.vb,100,0,18,82,1,0,1,2,0,3797,3.80 KB
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\ASCII\Raman\Spectroscopy.vb,32,0,4,28,1,22,0,0,0,1557,1.56 KB
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\MarkupData\Base64Decode.vb,59,6,8,45,1,0,0,1,0,2187,2.19 KB
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\MarkupData\CompressionMode.vb,23,0,4,19,2,0,0,0,0,633,633 B
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\MarkupData\FastSeekIndex.vb,230,23,34,173,3,3,1,5,0,10316,10.32 KB
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\MarkupData\IBase64Container.vb,18,6,5,7,1,1,0,2,0,388,388 B
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\MarkupData\XmlFileTypes.vb,13,3,1,9,1,0,0,0,0,270,270 B
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\MarkupData\XmlParser.vb,81,16,13,52,1,0,1,6,0,2822,2.82 KB
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\MarkupData\XmlSeek.vb,176,13,29,134,1,1,3,7,0,7276,7.28 KB
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\MarkupData\imzML\ibd\Format.vb,23,16,1,6,1,0,0,0,0,879,879 B
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\MarkupData\imzML\ibd\ibdReader.vb,180,42,26,112,1,3,4,6,0,6535,6.54 KB
E:\mzkit\src\assembly\assembly\assembly-netcore5.vbproj,assembly\MarkupData\imzML\Writer\DataWriter.vb,41,3,7,31,1,0,0,2,0,1281,1.28 KB
