title,date,analysis,platform,ID,submitter,publications,organism,organism_parts,metabolites1,metabolites2,metabolites3,metabolites4,metabolites5,metabolites6,metabolites7,metabolites8,metabolites9,metabolites10,metabolites11,metabolites12,metabolites13,metabolites14,metabolites15,metabolites16,metabolites17,metabolites18,metabolites19,metabolites20
Absolute quantification of metabolites in tomato fruit extracts by fast 2D NMR (Calibration Standard 700 MHz samples),2015/11/11,NMR spectroscopy,Bruker,MTBLS134,Patrick GIRAUDEAU; Annick MOING; Mickael MAUCOURT; Catherine DEBORDE,,reference compound,mixture,Glucose; Fructose; Glutamine; Citric acid; Sucrose; Malic acid; 4-Aminobutanoate; Choline,,,,,,,,,,,,,,,,,,,
Stability in metabolic phenotypes and inferred metagenome profiles before the onset of colitis-induced inflammation.,2017/7/14,mass spectrometry,LCMS-IT-TOF (Shimadzu),MTBLS432,Maria Glymenaki; Cruickshank Sheena,,Mus musculus,urine,,,,,,,,,,,,,,,,,,,,
Dissolved organic carbon compounds in deep-sea hydrothermal vent fluids,2017/5/23,mass spectrometry,TSQ Vantage (Thermo Scientific),MTBLS428,Krista Longnecker; Stefan Sievert; Sean Sylva; Jeff Seewald; Kujawinski Elizabeth,,blank; sea water,water; exometabolome,"2,3-dihydroxybenzoic acid; 2,3-dihydroxypropane-1-sulfonate; 3-mercapto propionate; 4-aminobenzoic acid; 4-hydroxybenzoic acid; 5'-methylthioadenosine; 6-phosphogluconic acid; adenosine; biotin; chitotriose; choline; cyanocobalamin; D-glucosamine 6-phosphate; D-glucose 6-phosphate; desthiobiotin; dimethylsulfoniopropionate; folic acid; glyphosate; guanosine; indole 3-acetic acid; inosine; inosine 5'-monophosphate; kynurenine; leucine; isoleucine; n-acetyl glutamic acid; n-acetyl muramic acid; nicotinamide adenine dinucleotide; nicotinamide adenine dinucleotide phosphate; pantothenic acid; phenylalanine; riboflavin; sodium taurocholate; tryptamine; tryptophan; uridine 5-monophosphate; xanthine; xanthosine",,,,,,,,,,,,,,,,,,,
Phototrophic biofilm assembly in microbial-mat-derived unicyanobacterial consortia: model systems for the study of autotroph-heterotroph interactions,2014/6/24,mass spectrometry,5975C Series GC/MSD (Agilent),MTBLS75,Thomas Metz,,unclassified Cyanobacteria,whole organism,D-glucose; glycerol; gluconate; trehalose; sucrose; 2-O-(alpha-D-glucopyranosyl)-D-glycerate,,,,,,,,,,,,,,,,,,,
Metabolomic profiling of Fraxinus excelsior genotypes tolerant or susceptible to ash dieback disease reveals changes in iridoid glycosides,2016/11/9,mass spectrometry,6520 Q-TOF LC/MS (Agilent),MTBLS372,Christine Sambles; Murray Grant; David Studholme; Deborah Salmon; Nicholas Smirnoff; Hannah Florance,,Fraxinus excelsior,leaf,,,,,,,,,,,,,,,,,,,,
Assessment of automated trimethylsilyl derivatisation protocols for GC-MS-based untargeted metabolomic analysis of urine,2015/9/28,mass spectrometry,Agilent 6890 GC/5973N MSD,MTBLS171,Robert Trenogve; Hayley Abbiss; Catherine Rawlinson; Garth Maker,,Rattus norvegicus,urine,"Propanoic acid; Oxalic acid; 110_Unknown; Glycolic acid; 122_Unknown; 123_Unknown; L-alanine; 128_Unknown; 129_Unknown; 130_Unknown; Butyric acid; Dodecamethylpentasiloxane; Butanoic acid; n-dodecane; 13C,15N-valine; 150_Unknown; Benzoic acid; 154_Unknown; Ethanolamine; Phosphoric acid; 207_Unknown; Glycine; Succinic acid; Glyceric acid; 215_Unknown; Dihydroxybutanoic acid; 217_Unknown; 218_Unknown; Fumaric acid; 221_Unknown; 224_Unknown; 228_Unknown; 229_Unknown; 230_Unknown; 231_Unknown; 233_Unknown; B-alanine; 240_Unknown; 243_Unknown; Tetradecamethylcycloheptasiloxane; 246_Unknown; 247_Unknown; Malic acid; 249_Unknown; Erythritol; n-pentadecane; Pyroglutamic acid; 262_Unknown; Ribitol; 266_Unknown; 267_Unknown; 268_Unknown; 272_Unknown; Threonic acid; 275_Unknown; 1-Methyl-N,N-bis(TMS)-4-[(TMS)oxy]-1H-imidazole-2-amine; L-threonic acid; 2-hydroxyglutaric acid; 2-ketoglutaric acid; 287_Unknown; cis-4,5-bis(trimethylsiloxy)-3,4,5,6-tetrahydro-1,2-dithiane; 289_Unknown; 292_Unknown; 294_Unknown; Glutaric acid; Pimelic acid; 303_Unknown; 305_Unknown; 307_Unknown; 309_Unknown; 312_Unknown; 313_Unknown; Hexadecamethylcyclooctasiloxane; 315_Unknown; 318_Unknown; 319_Unknown; 321_Unknown; Xylose; 325_Unknown; 327_Unknown; 328_Unknown; 2-deoxyribonic acid; Arabinose; 338_Unknown; 340_Unknown; D-(-)-ribose; 343_Unknown; 344_Unknown; 346_Unknown; 347_Unknown; Xylitol; 350_Unknown; 352_Unknown; 353_Unknown; Indole; Arabitol; 357_Unknown; L-fucose; Benzenepropanoic acid; Propanetricarboxylate",363_Unknown; 365_Unknown; 367_Unknown; Aconitic acid; Ribonic acid; 372_Unknown; 373_Unknown; 374_Unknown; 376_Unknown; 378_Unknown; 2-keto-L-gluconic acid; 383_Unknown; 389_Unknown; Citric acid; Azelaic acid; 396_Unknown; 398_Unknown; D-pinitol; 415_Unknown; 419_Unknown; Tartaric acid; 423_Unknown; 425_Unknown; 427_Unknown; Hippuric acid; Fructose; 430_Unknown; 431_Unknown; 435_Unknown; 436_Unknown; 438_Unknown; L-ascorbic acid; Mannose; Galactose; 441_Unknown; Glucose; 443_Unknown; 444_Unknown; 447_Unknown; 449_Unknown; 451_Unknown; n-nonadecane; Mannitol; 459_Unknown; 13C-sorbitol; Dulcitol; 470_Unknown; Glucuronic acid; Myo-inositol; 475_Unknown; D-gluconic acid; 481_Unknown; 1H-Indole-3-acetic acid; Galacturonic acid; 484_Unknown; 485_Unknown; 486_Unknown; Gluconic acid; Pantothenic acid; Glucaric acid; Galactonic acid; 502_Unknown; 503_Unknown; Hexadecanoic acid; 505_Unknown; N-acetyl glucosamine; 518_Unknown; 520_Unknown; 521_Unknown; 522_Unknown; 523_Unknown; 526_Unknown; 529_Unknown; 530_Unknown; n-docosane; 1H-indole-3-acetic acid; 534_Unknown; 535_Unknown; Octadecanoic acid; 539_Unknown; 540_Unknown; 542_Unknown; 548_Unknown; 549_Unknown; 551_Unknown; p-tolyl-β-D-glucuronide; 554_Unknown; 556_Unknown; Diisooctyl phthalic acid; Lactulose; 564_Unknown; 567_Unknown; Sucrose; 571_Unknown; 573_Unknown; 576_Unknown; Lactose; 594_Unknown; Maltose; 603_Unknown,n-octacosane; n-dotriacontane; n-hexatriacontane,,,,,,,,,,,,,,,,,
Untangling the wine metabolome by combining untargeted SMPE-GCxGC-TOF-MS and sensory analysis to profile Sauvignon blanc co-fermented with seven different yeasts,2015/8/19,mass spectrometry,LECO Pegasus 4D GCxGC-TOF-MS,MTBLS212,Margaret Beckner Whitener; Jan Stanstrup; Valeria Panzeri; Silvia Carlin; Benoit Divol; Maret Du Toit; Urska Vrhovsek,,Vitis vinifera,Wine,"decan-2-yl propanoate; diethyl fumarate; 3-oxobutyl acetate; 2-ethylhexyl acetate; phenethyl acetate; phenethyl isobutyrate; benzyl ether; phenethyl butyrate; borneol; 4-octanolide; 2-phenylethyl formate; 2-ethylhexanol; ethyl propionate; Isoamyl propionate; Isobutyl hexanoate; geraniol; nerol; Isoamyl butyrate; ethyl heptanoate; ethyl caprylate; ethyl laurate; methyl hexanoate; ethyl 3-hydroxytridecanoate; acetic anhydride; ethyl isovalerate; butyl butyrate; propyl acetate; isobutyl acetate; ethyl 2,4-hexadienoate; ethyl decanoate; methyl octanoate; 2-octanone; heptanoic acid; 1-hexanol; 3-ethoxy-1-propanol; hexyl octanoate; diazoethane; methyl 10-undecanoate; methyl laurate; 2-undecanone; octyl acetate; decyl alcohol; decanal; octyl formate; 1-bromo-4-cyclopropylbenzene; 1-undecanol; undecanal; Isobutyl benzoate; 3-phenylpropyl acetate; phenylacetaldehyde; ethyl nonanoate; 3-methyl-1-butanol; ethyl caproate; butyl acetate; 1,4-dioxane; isoamyl acetate; octanoic acid; octanal; nonanal; 4-methylpent-3-en-1-amine; ethyl 3-(methylthio)propionate; (E)-hex-2-enoate; 1-(1-ethoxyethoxy)pentane; 2-methyltetrahydrothiophen-3-one; 4-penten-2-one; benzyl acetate; ethyl acetate; hexanoic acid; hexyl acetate; nonyl acetate; 9-decenoic acid; citronellyl acetate; ethyl 2-hydroxy-3-phenylpropanoate; ethyl hex-2-enoate; 4-penten-1-yl acetate; 4,5-dimethyl-1-hexene; tert-butyl methyl ether; geranyl acetate; 2-undecanol; 4-ethyl-1-hexene; ethyl 2-propenyl-cyclopropanecarboxylate; 3-ethoxy-2-butanone; methyl undecanoate; 4-octylphenol; dihydromyrcenol; 2,3-dimethyl-1,4-hexadiene; tetradecyl iodide; Isoamyl lactate; Isoamyl octanoate; Isoamyl isobutyrate; perillyl aldehyde; methyl lactate; 1H-tetrazole-1,5-diamine; Isopentyl hexanoate; 2-acetoxypropanal; 1-undecyne; 4-(2,2,6-trimethyl-7-oxabicyclo[4.1.0]hept-1-yl)-3-buten-2-one; S-octyl ethanethioate; hexyl propionate; pentadecylamine","hexyl butyrate; ethyl 3-hexenoate; (Z,E)-alpha-farnesene; thietane; 3,4-dihydroxy-3-cyclobutene-1,2-dione; 1-hepten-3-one; 2,6-dihydro-6-oxo-dibenzo[cd,g]indazole-3-sulfonic acid; 1-p-menthen-9-al; (E,E)-2,4-octadien-1-ol, acetate; Isobutyl decanoate; propyl decanoate; 2,4,5-trimethyl-1,3-dioxolane; cis-beta-Ocimene; decanoic acid; ethyl 4-octenoate; 7-octen-2-one; (E)-hept-4-en-2-one; cis-3-hexenyl acetate; ocimene; 2,3-hexanedione; 4-hexyl-2,5-dihydro-2,5-dioxo-3-furanacetic acid; 7-octen-2-ol; methylsuccinic anhydride; trans-2-tridecene; dihydroedulan II; 2-octylfuran; 2,6-dimethyl-5-hepten-1-ol; 1-(1-methylethoxy)-2-propanone; beta-cyclocitral; 2-(1-phenylethyl)-1,3-dioxolane; 3-cyano-2-butanone; 2,6-dimethyl-1,3,5,7-octatetraene; (E,Z)-farnesol; 3-phenyldecane; 1,1,6-trimethyltetralin; 2,3-dihydrobenzofuran; 3-furaldehyde; 3-thiophenecarboxaldehyde; alpha-farnesene; isovaleric acid; 3-methylthiopropanol; acetoin; (1R,4S)-4,7,7-trimethylbicyclo[4.1.0]hept-2-ene; 3-[(2-hydroxyethyl)thio]-1-propanol; 2-hexenyl propanoate; Isobutyl butyrate; pentyl butyrate; ethyl 3-hydroxybutyrate; ethyl 4-tert-butylbenzoate; ethyl hept-2-enoate; trans-4-tert-butylcyclohexanecarboxylic acid; 1,2-dimethyl 1,2,4-benzenetricarboxylate; 2,4-dimethyl-3-pentanone; 4,5-dimethyl-2-pentadecyl-1,3-dioxolane; mesylmethyl(benzyl)sulfone; 1-(1-ethoxyethoxy)-butane; 1,2-propanediol; 1,2-diphenylpropane; terpinolene; 3-methyl-1-pentanol; butyl octanoate; 3-octanol; 3-methyl-1-butyne; 2-phenylethanol; L-tyrosine; 2-pentanol; (S)-(+)-2-heptanol; cyclopentaneundecanoic acid; benzoylformic acid; methyl glycinate; propyl octanoate; 2-methylbutyl acetate; pentyl propionate; N-ethylacetamide; diethyl DL-malate; propyl hexanoate; 4-methyl-1-pentanol; 4-oxopentanal; amyl acetate; 1,3-diacetoxypropane; 1,4-diacetoxybutane; 2,2'-oxybis-ethanol diacetate; ethyl palmitate; 2-nonanol; tetradecane; Isoamyl laurate; (1,2,3-trimethyl-2-cyclopropen-1-yl)benzene; phenethylamine; acetic acid; curcumene; 1,3-oxathiane; 3,8-dimethyl-4,6-decadiyne-3,8-diol; ethyl 9-decenoate; phenethyl pivalate; 2-methyl-4-propyl-1,3-oxathiane; cis-ethyl crotonate; 6-methylheptan-2-yl acetate; 2-methylbutyl decanoate; ethyl (2S)-2-hydroxypropanoate; 10-dodecyn-1-ol","bicyclo[4.2.0]octa-1,3,5-triene; 2-bromoacetophenone; delta-decalactone; 1-propanol; 1-butanol; 3-methylheptyl acetate; ethyl 2-octenoate; ethyl trans-2-decenoate; 2-phenylethyl pentanoate; 3-methyl-3-buten-1-ol; 1-decyne; 2-methoxy-4-vinylphenol; linalool; acrylic acid; glycolic acid; N-methylacetamide; Isobutyric acid; ethyl 3,3,4-trimethylpentanoate; alpha-pinene; diethyl glutarate; sec-butyl butyrate; 2-isopropyl-1,3-dioxolane; dibutyl phthalate; 7-amino-4-hydroxy-2-naphthalenesulfonic acid; 1-decene; 4-hydroxy-2-methylacetophenone; phthalic acid; dipentene; ethyl 3-nonenoate; 7-tridecanol; 4-chloro-1-butanol; 3-decanone; 2-(dichloromethyl)tetrahydrofuran; 5-ethoxydihydro-2(3H)-furanone; 4,6,8-trimethylazulene; 1,2-dichlorobenzene; gamma-butyrolactone; ethyl isobutyrate; ethyl lactate; 2-furaldehyde; 2-thiophenecarboxaldehyde; acetophenone; gamma-terpinene; alpha-terpinene; p-cymene; ethyl hex-5-enoate; 1, 1, 5-trimethyl-1, 2-dihydronaphthalene; Se-butyl butanecarboselenoate; 4-(1-hydroxyethyl)-gamma-butanolactone; diethyl 2-hydroxypentanedioate; 3-ethoxypropyl acetate; 3,3-dimethoxy-1-phenyl-1,2-propanedione; butyl 9-decenoate; (1-methylbutyl)cyclopentane; 3-ethyl-1,5-octadiene; 1-methoxy-2-ethoxyethyl-1-furan; ethyl 2-phenylethyl butylphosphonate; ethyl 4-oxobutanoate; 3-(methylthio)propyl acetate; 2-methylbutyl acetoxyacetate; isobutyl 2-phenylethyl 2,6-pyridinedicarboxylate; ethyl 2-phenylethyl dimethylmalonate; ethyl 3-methylbutyl butanedioate; (RS)-3-methyl-4-{[(Z)-prop-1-enyl]oxy}butanal; (trans)-3,4-oxa-2,5-dimethylhexane; 1-(2-phenethyl)imidazolidine-2,4,5-trione; 1-ethoxy-1-pentoxyethane; 2-(1-pentyloxy)-ethyl acetate; 2-(3-pyridyl)-3-(4-toluenesulfonamido)propylazetidine; 2-(carboxyethoxy)-propanal; (2E)-1,4-dimethoxybut-2-en-1-yl acetate; 5-chlorooctylacetate",,,,,,,,,,,,,,,,,
Untargeted extraction of metabolites 13C labeling profiles from time course labeling switch experiment,2015/10/19,mass spectrometry,LTQ Orbitrap Classic (Thermo Scientific),MTBLS228,Patrick Kiefer,,Bacillus methanolicus,whole organism,"N-Acetyl-L-glutamic acid; D-Fructose 1,6-bisphosphate; UDP-alpha-D-GlcNAc3NAcA; Sedoheptulose 7-phosphate; 3-Propylmalate; alpha-D-glucose-6-phosphate; Adenosine diphosphate; UDP-GlcNAc; uridine triphosphate; GDP-4-keto-6-deoxymannose; Riboflavin cyclic-4',5'-phosphate; Glucose-1-phosphate; ribulose-5-phosphate; Cyclic CMP; Ribose 1,5-bisphosphate; dihydroxyacetone phosphate; Uridine 5'-diphosphate; Uridylic acid; adenosine 5'-monophosphate; Nicosulfuron; (2S)-2-amino-3-hydroxypentanedioic acid; De-esterified pectin; D-Ribose 5-phosphate; uridine diphosphate glucose; Citramalic acid; N(2)-citryl-N(6)-acetyl-N(6)-hydroxylysine; UDP-N-acetylmuramoyl-L-alanyl-D-gamma-glutamyl-6-carboxy-L-lysyl-D-alanyl-D-alanine; 2,3-dihydroxy-3-methylbutanoic acid; 3-phosphoglyceric acid; Azaribine; Appr>p; 2,2',3-trihydroxy-3'-methoxy-5,5'-dicarboxybiphenyl; 6-phosphogluconic acid; Guanosine 5'-diphosphate; PRcP; (R)-3-((R)-3-Hydroxybutanoyloxy)butanoate; 1,6-bis-O-galloyl-beta-D-glucose; 2-O-(alpha-D-glucopyranosyl)-3-phospho-D-glycerate; D-gluconic acid; 5'-Guanylic acid; Sulthiame; 2-C-methyl-D-erythritol 2,4-cyclic diphosphate; SAICAR; trehalose 6-phosphate; Quercetin 3,3'-bissulfate; acetyl-CoA; 4-phosphoerythronate; Pteridine diphosphate; citric acid; dIDP; Clavaminic acid; UDP-N-acetyl-D-glucosaminuronate; sedoheptulose 1,7-bisphosphate; Thifensulfuron-methyl; shikimate-3-phosphate; O-phospho-D-serine; N-Acetyl-D-glucosamine 1,6-bisphosphate; 2-Deoxy-D-glucose 6-phosphate; alpha-GlcNAc-1-P; shikimic acid; 5'-Thymidylic acid; Epithienamycin F; Aranotin; Anthelmycin; dAMP; 3-ADP-2-phosphoglyceric acid; isovaleryl-coenzyme A; chorismic acid; bis(1L-myo-inositol) 3,1'-phosphate 1-phosphate; meglutol; Phosphonopyruvate; 3-Glycerophosphate; 5'-phosphoribosyl-N-formylglycinamide; Nifurtoinol; CDM; succinic acid; acetylphosphate; Letosteine; Sulfametrole; Irisxanthone; DMAPP; glucose-6 phosphate; 1-O-alpha-D-galactosyl-sn-glycerol 3-phosphate; 2-Deoxy-D-ribose 5-phosphate; Neuraminic acid; D-Erythrose 4-phosphate; Aspartyl adenylate; Karakin; S-Acetylphosphopantetheine; Flavonol 3-O-beta-D-glucosyl-(1->2)-beta-D-glucosyl-(1->2)-beta-D-glucoside; 4-Hydroxy-L-glutamic acid; Adenosine triphosphate; DL-Glutamic acid; Guanosine triphosphate; Pyrazosulfuron; sepiapterin; Ribosylimidazole acetic acid; butyryl-coenzyme A; S-Glutathionyl-L-cysteine; Indole-3-lactic acid","Methyl-2-alpha-L-fucopyranosyl-beta-D-galactoside; 5'-Butyrylphosphoinosine; Sulfisoxazole diolamine; phosphothreonine; 1,5-naphthalenedisulfonic acid; Shikonin; phosphoenolpyruvate; 5-O-(1-carboxyvinyl)-3-phosphoshikimic acid",,,,,,,,,,,,,,,,,,
Salmonella Modulates Metabolism during Growth under Conditions that Induce Expression of Virulence Genes,2013/5/2,mass spectrometry,5975C Series GC/MSD (Agilent),MTBLS35,Thomas Metz; Charles Ansong; Joshua Adkins,,Salmonella enterica,whole organism,"phosphoric acid; phosphoenolpyruvic acid; diphosphoric acid; putrescine; pyruvic acid; L-Lactic acid; myristic acid; spermidine; succinic acid; thymine; uracil; urea; urocanic acid; xanthine; L-homoserine; adenosine; deoxycytidylic acid; adenine; Beta- alanine; L-glutamic acid; 1,3-diaminopropane; glyceric acid; 6-deoxy-D-glucose; citramalic acid; D-glucose-6-phosphate; palmitoleic acid; oleic acid; 4-guanidinobutyric acid; stearic acid; tyramine; L-cysteine; L-alanine; L-serine; L-aspartic acid; L-lysine; cytosine; fructose; L-tyrosine; L-leucine; L-methionine; L-proline; alpha-D-glucose; L-ornithine; L-histidine; L-valine; L-threonine; pantothenic acid; dihydroxyacetone phosphate; porphine; adenosine-5'-monophosphate; N-Acetyl-L-glutamic acid; glycine; DL-glyceraldehyde; glycerol; sn-Glycerol 3-phosphate; glycolic acid; hypoxanthine; L-isoleucine; 2,6-diaminopimelic acid; malonic acid; D-malic acid; 4-hydroxyphenyllactic acid; nicotinic acid; citrulline; palmitic acid; D-ribose",,,,,,,,,,,,,,,,,,,
Nontargeted and targeted metabolomics measurements of abiotic stress responses in three-week-old Arabidopsis thaliana plants' rosette leaf tissue,2017/7/17,mass spectrometry,Solarix FT-ICRMS (Bruker Daltonics),MTBLS355,Elisabeth Georgii; Anton Schäffner,,Arabidopsis thaliana,rosette leaf,"1,3-Dihydroxyaceton; Adenine; Adenosine, 5-methylthio-; Alanine; Alanine, beta-; Arabinose; Arabitol; Arginine; Ascorbic acid; Asparagine; Aspartic acid; Benzoic acid; Benzoic acid, 2,5-dihydroxy-; beta-D-Galactopyranoside, 1-isopropyl-, 1-thio-; Butanoic acid, 2,4-dihydroxy-; Butyric acid, 2,4-diamino-, DL-; Butyric acid, 2-amino-, DL-; Citric acid; Cysteine; Cysteine, N-acetyl-; Cytosine; Dehydroascorbic acid dimer; Erythritol; Erythronic acid; Erythrose; Ethanolamine; Fructose; Fumaric acid; Galactinol; Galactonic acid; Galactosamine, N-acetyl-; Glucoheptose; Gluconic acid; Glucosamine, N-acetyl-; Glucose; Glucose-6-phosphate; Glucuronic acid-3,6-lactone; Glutamic acid; Glutamine, DL-; Glutaric acid, 2-oxo-; Glutaric acid, 3-hydroxy-3-methyl-; Glutaric acid, 3-oxo-; Glyceraldehyde; Glyceric acid; Glycerol; Glycerol-2-phosphate; Glycerophosphoglycerol; Glycine; Glycolic acid; Homocysteine; Hydroxyurea; Inositol, myo-; Isoleucine; Isomaltose; Lactic acid, 3-phenyl-; Leucine; Levulinic acid; Lysine; Lyxonic acid; Lyxonic acid-1,4-lactone; Maleic acid; Malic acid; Malic acid, 2-methyl-; Malonic acid; Maltose; Mannopyranoside, 1-O-methyl-, alpha-; Mannose; Mannose-6-phosphate; Methionine; N-Carboxyglycine; Nicotinic acid; Nicotinic acid, 6-hydroxy-; N-methyl trans-4-hydroxy-L-proline; Ornithine; Oxamide; Phenylalanine; Phosphoric acid; Phosphoric acid monomethyl ester; Proline (2TMS); Proline, 4-hydroxy-, trans-; Propane-1,3-diol, 2-amino-2-methyl-; Propanoic acid, 2-amino-2-methyl-3-hydroxy-; Putrescine; Pyroglutamic acid; Pyrrole-2-carboxylic acid; Pyruvic acid, 3-hydroxy-; Ribonic acid; Ribose; Ribose-5-phosphate; Salicylic acid-glucopyranoside; Serine; Shikimic acid; Spermidine; Succinic acid; Succinic semialdehyde; Succinyl-lactate; Sucrose; Tartaric acid; Threonic acid; Threonine","Threonine, allo-; Threose; Trehalose, alpha,alpha'-, D-; Trehalose-6-phosphate; Tryptophan; Urea; Uric acid; Valeric acid, 2-oxo-; Valine; Xylitol; Xylose; Xylulose; sucrose; 2-O-(beta-D-glucosyl)-sn-glycerol 3-phosphate; 1-alpha-D-galactosyl-sn-glycerol 3-phosphate; 1-(sn-glycero-3-phospho)-1D-myo-inositol; 2-(alpha-D-galactosyl)-sn-glycerol 3-phosphate",,,,,,,,,,,,,,,,,,
