proj,files,totalLines,commentLines,blankLines,lineOfCodes,class,property,method,functions,operator,size(bytes),size
E:\mzkit\src\visualize\KCF\KCF.Graph\KCF_graph.NET5.vbproj,KCF.Graph\Cluster.vb,75,8,12,55,1,0,0,3,0,2804,2.80 KB
E:\mzkit\src\visualize\KCF\KCF.Graph\KCF_graph.NET5.vbproj,KCF.Graph\Extensions.vb,8,0,3,5,1,0,0,0,0,161,161 B
E:\mzkit\src\visualize\KCF\KCF.Graph\KCF_graph.NET5.vbproj,KCF.Graph\KCF.vb,135,18,18,99,1,0,0,3,0,4623,4.62 KB
E:\mzkit\src\visualize\KCF\KCF.Graph\KCF_graph.NET5.vbproj,KCF.Graph\My Project\Application.Designer.vb,12,9,1,2,0,0,0,0,0,434,434 B
E:\mzkit\src\visualize\KCF\KCF.Graph\KCF_graph.NET5.vbproj,KCF.Graph\My Project\AssemblyInfo.vb,36,15,6,15,0,0,0,0,0,1096,1.10 KB
E:\mzkit\src\visualize\KCF\KCF.Graph\KCF_graph.NET5.vbproj,KCF.Graph\My Project\Resources.Designer.vb,63,23,8,32,1,2,0,0,0,2806,2.81 KB
E:\mzkit\src\visualize\KCF\KCF.Graph\KCF_graph.NET5.vbproj,KCF.Graph\My Project\Settings.Designer.vb,74,9,12,53,2,2,1,0,0,3058,3.06 KB
E:\mzkit\src\visualize\KCF\KCF.Graph\KCF_graph.NET5.vbproj,KCF.Graph\test\Module1.vb,37,0,11,26,1,0,2,0,0,1119,1.12 KB
E:\mzkit\src\visualize\KCF\KCF.Graph\KCF_graph.NET5.vbproj,KCF.Graph\test\My Project\Application.Designer.vb,12,9,1,2,0,0,0,0,0,434,434 B
E:\mzkit\src\visualize\KCF\KCF.Graph\KCF_graph.NET5.vbproj,KCF.Graph\test\My Project\AssemblyInfo.vb,35,15,7,13,0,0,0,0,0,1161,1.16 KB
E:\mzkit\src\visualize\KCF\KCF.Graph\KCF_graph.NET5.vbproj,KCF.Graph\test\My Project\Resources.Designer.vb,62,23,8,31,1,2,0,0,0,2766,2.77 KB
E:\mzkit\src\visualize\KCF\KCF.Graph\KCF_graph.NET5.vbproj,KCF.Graph\test\My Project\Settings.Designer.vb,73,9,13,51,2,2,1,0,0,2966,2.97 KB
E:\mzkit\src\visualize\KCF\KCF.Graph\KCF_graph.NET5.vbproj,<project>,622,138,100,384,10,8,4,6,0,23428,23.43 KB
E:\mzkit\src\visualize\KCF\KCF.IO\KCF_IO.NET5.vbproj,KCF.IO\AtomicWeight.vb,53,0,8,45,1,5,0,3,0,1767,1.77 KB
E:\mzkit\src\visualize\KCF\KCF.IO\KCF_IO.NET5.vbproj,KCF.IO\Extensions.vb,58,15,8,35,1,1,0,2,0,1896,1.90 KB
E:\mzkit\src\visualize\KCF\KCF.IO\KCF_IO.NET5.vbproj,KCF.IO\IO.vb,115,8,11,96,1,0,0,4,0,3824,3.82 KB
E:\mzkit\src\visualize\KCF\KCF.IO\KCF_IO.NET5.vbproj,KCF.IO\KegAtomType.vb,118,27,14,77,2,1,2,4,0,3659,3.66 KB
E:\mzkit\src\visualize\KCF\KCF.IO\KCF_IO.NET5.vbproj,KCF.IO\KCF\Entry.vb,27,0,6,21,1,2,2,2,0,866,866 B
E:\mzkit\src\visualize\KCF\KCF.IO\KCF_IO.NET5.vbproj,KCF.IO\KCF\KCF.vb,18,8,2,8,1,3,0,1,0,460,460 B
E:\mzkit\src\visualize\KCF\KCF.IO\KCF_IO.NET5.vbproj,KCF.IO\KCF\Models.vb,36,9,8,19,2,8,0,2,0,1118,1.12 KB
E:\mzkit\src\visualize\KCF\KCF.IO\KCF_IO.NET5.vbproj,KCF.IO\My Project\Application.Designer.vb,12,9,1,2,0,0,0,0,0,434,434 B
E:\mzkit\src\visualize\KCF\KCF.IO\KCF_IO.NET5.vbproj,KCF.IO\My Project\AssemblyInfo.vb,36,15,6,15,0,0,0,0,0,1089,1.09 KB
E:\mzkit\src\visualize\KCF\KCF.IO\KCF_IO.NET5.vbproj,KCF.IO\My Project\Resources.Designer.vb,112,60,10,42,1,4,0,0,0,4929,4.93 KB
E:\mzkit\src\visualize\KCF\KCF.IO\KCF_IO.NET5.vbproj,KCF.IO\My Project\Settings.Designer.vb,75,9,13,53,2,2,1,0,0,3048,3.05 KB
E:\mzkit\src\visualize\KCF\KCF.IO\KCF_IO.NET5.vbproj,<project>,660,160,87,413,12,26,5,18,0,23090,23.09 KB
E:\mzkit\src\visualize\KCF\KCFDraw\KCFDraw.NET5.vbproj,KCFDraw\Canvas.vb,422,83,53,286,1,0,3,7,0,16022,16.02 KB
E:\mzkit\src\visualize\KCF\KCFDraw\KCFDraw.NET5.vbproj,KCFDraw\KCFBrush.vb,55,8,6,41,1,6,0,3,0,1930,1.93 KB
E:\mzkit\src\visualize\KCF\KCFDraw\KCFDraw.NET5.vbproj,KCFDraw\LabelHtml.vb,174,24,19,131,1,0,1,3,0,6442,6.44 KB
E:\mzkit\src\visualize\KCF\KCFDraw\KCFDraw.NET5.vbproj,KCFDraw\My Project\Application.Designer.vb,12,9,1,2,0,0,0,0,0,434,434 B
E:\mzkit\src\visualize\KCF\KCFDraw\KCFDraw.NET5.vbproj,KCFDraw\My Project\AssemblyInfo.vb,36,15,6,15,0,0,0,0,0,1180,1.18 KB
E:\mzkit\src\visualize\KCF\KCFDraw\KCFDraw.NET5.vbproj,KCFDraw\My Project\Resources.Designer.vb,63,23,8,32,1,2,0,0,0,2808,2.81 KB
E:\mzkit\src\visualize\KCF\KCFDraw\KCFDraw.NET5.vbproj,KCFDraw\My Project\Settings.Designer.vb,74,9,12,53,2,2,1,0,0,3063,3.06 KB
E:\mzkit\src\visualize\KCF\KCFDraw\KCFDraw.NET5.vbproj,<project>,836,171,105,560,6,10,5,13,0,31879,31.88 KB
E:\mzkit\src\visualize\KCF\KEGGdraw\KEGGdraw.NET5.vbproj,KEGGdraw\CLI.vb,79,1,11,67,1,0,0,2,0,3073,3.07 KB
E:\mzkit\src\visualize\KCF\KEGGdraw\KEGGdraw.NET5.vbproj,KEGGdraw\Groups.vb,6,0,2,4,1,0,0,0,0,149,149 B
E:\mzkit\src\visualize\KCF\KEGGdraw\KEGGdraw.NET5.vbproj,KEGGdraw\Program.vb,6,0,1,5,1,0,0,1,0,138,138 B
E:\mzkit\src\visualize\KCF\KEGGdraw\KEGGdraw.NET5.vbproj,KEGGdraw\kegDraw\Atom.vb,968,2,97,869,1,28,25,17,0,37012,37.01 KB
E:\mzkit\src\visualize\KCF\KEGGdraw\KEGGdraw.NET5.vbproj,KEGGdraw\kegDraw\Bond.vb,671,0,83,588,1,16,19,15,0,31837,31.84 KB
E:\mzkit\src\visualize\KCF\KEGGdraw\KEGGdraw.NET5.vbproj,KEGGdraw\kegDraw\Bracket.vb,1230,2,81,1147,1,18,30,21,0,52671,52.67 KB
E:\mzkit\src\visualize\KCF\KEGGdraw\KEGGdraw.NET5.vbproj,KEGGdraw\kegDraw\Canvas.vb,7483,4,542,6937,3,13,0,0,0,262925,262.93 KB
E:\mzkit\src\visualize\KCF\KEGGdraw\KEGGdraw.NET5.vbproj,KEGGdraw\kegDraw\ChemConteiner.vb,72,0,20,52,1,0,7,9,0,3201,3.20 KB
E:\mzkit\src\visualize\KCF\KEGGdraw\KEGGdraw.NET5.vbproj,KEGGdraw\kegDraw\ChemObject.vb,137,0,26,111,1,5,12,2,0,4355,4.36 KB
E:\mzkit\src\visualize\KCF\KEGGdraw\KEGGdraw.NET5.vbproj,KEGGdraw\kegDraw\DEBT.vb,166,4,6,156,1,0,2,0,0,7689,7.69 KB
E:\mzkit\src\visualize\KCF\KEGGdraw\KEGGdraw.NET5.vbproj,KEGGdraw\kegDraw\DEBTPreference.vb,47,4,8,35,1,0,2,1,0,1590,1.59 KB
E:\mzkit\src\visualize\KCF\KEGGdraw\KEGGdraw.NET5.vbproj,KEGGdraw\kegDraw\EditMode.vb,976,0,38,938,1,9,8,16,0,51437,51.44 KB
E:\mzkit\src\visualize\KCF\KEGGdraw\KEGGdraw.NET5.vbproj,KEGGdraw\kegDraw\Molecule.vb,1818,4,118,1696,1,10,52,30,0,88233,88.23 KB
E:\mzkit\src\visualize\KCF\KEGGdraw\KEGGdraw.NET5.vbproj,KEGGdraw\kegDraw\PeriodicTable.vb,50,4,7,39,1,0,1,1,0,1692,1.69 KB
E:\mzkit\src\visualize\KCF\KEGGdraw\KEGGdraw.NET5.vbproj,KEGGdraw\kegDraw\Reaction.vb,991,4,86,901,1,5,39,27,0,35305,35.30 KB
E:\mzkit\src\visualize\KCF\KEGGdraw\KEGGdraw.NET5.vbproj,KEGGdraw\kegDraw\ReactionArrow.vb,247,4,42,201,1,3,6,6,0,7827,7.83 KB
E:\mzkit\src\visualize\KCF\KEGGdraw\KEGGdraw.NET5.vbproj,KEGGdraw\kegDraw\Text.vb,143,4,27,112,1,9,5,1,0,2957,2.96 KB
E:\mzkit\src\visualize\KCF\KEGGdraw\KEGGdraw.NET5.vbproj,KEGGdraw\kegDraw\UndoUnit.vb,21,4,6,11,1,0,0,0,0,572,572 B
E:\mzkit\src\visualize\KCF\KEGGdraw\KEGGdraw.NET5.vbproj,KEGGdraw\My Project\Application.Designer.vb,12,9,1,2,0,0,0,0,0,434,434 B
E:\mzkit\src\visualize\KCF\KEGGdraw\KEGGdraw.NET5.vbproj,KEGGdraw\My Project\AssemblyInfo.vb,36,15,6,15,0,0,0,0,0,1212,1.21 KB
E:\mzkit\src\visualize\KCF\KEGGdraw\KEGGdraw.NET5.vbproj,KEGGdraw\My Project\Resources.Designer.vb,73,26,9,38,1,3,0,0,0,3144,3.14 KB
E:\mzkit\src\visualize\KCF\KEGGdraw\KEGGdraw.NET5.vbproj,KEGGdraw\My Project\Settings.Designer.vb,74,9,12,53,2,2,1,0,0,2991,2.99 KB
E:\mzkit\src\visualize\KCF\KEGGdraw\KEGGdraw.NET5.vbproj,<project>,15306,100,1229,13977,23,121,209,149,0,600444,600.44 KB
E:\mzkit\src\visualize\MsImaging\MsImaging.NET5.vbproj,MsImaging\Drawer.vb,315,68,48,199,1,2,6,11,0,12824,12.82 KB
E:\mzkit\src\visualize\MsImaging\MsImaging.NET5.vbproj,MsImaging\Extensions.vb,281,53,32,196,1,0,0,9,0,10245,10.24 KB
